-- Logs begin at Tue 2019-10-22 12:00:32 UTC, end at Tue 2019-10-22 19:37:48 UTC. --
Oct 22 19:17:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:17:15.236666 I | mvcc: store.index: compact 33538234
Oct 22 19:17:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:17:15.243779 I | mvcc: finished scheduled compaction at 33538234 (took 4.853705ms)
Oct 22 19:17:28 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:17:28.314700 W | etcdserver: request "header:<ID:14919139082522972768 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-ingressgateway\" mod_revision:33540709 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" value_size:6115 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (122.529392ms) to execute
Oct 22 19:17:28 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:17:28.329725 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/instances\" range_end:\"/registry/config.istio.io/instancet\" count_only:true " with result "range_response_count:0 size:7" took too long (137.771305ms) to execute
Oct 22 19:17:28 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:17:28.355836 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/istio-system/\" range_end:\"/registry/resourcequotas/istio-system0\" " with result "range_response_count:0 size:7" took too long (163.448291ms) to execute
Oct 22 19:17:28 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:17:28.559952 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (189.367773ms) to execute
Oct 22 19:17:28 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:17:28.561100 W | etcdserver: request "header:<ID:14919139082522972781 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-k6klc.15d00e2b235ae443\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-k6klc.15d00e2b235ae443\" value_size:444 lease:5695767045668196946 >> failure:<>>" with result "size:20" took too long (139.916841ms) to execute
Oct 22 19:17:28 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:17:28.579445 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (180.544243ms) to execute
Oct 22 19:17:28 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:17:28.579523 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-ff5gh\" " with result "range_response_count:1 size:2738" took too long (161.292934ms) to execute
Oct 22 19:17:28 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:17:28.786401 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-j5prn\" " with result "range_response_count:1 size:2738" took too long (115.076665ms) to execute
Oct 22 19:17:43 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:17:43.318967 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (110.651259ms) to execute
Oct 22 19:17:43 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:17:43.499232 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (109.503317ms) to execute
Oct 22 19:17:43 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:17:43.514559 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (107.512546ms) to execute
Oct 22 19:18:59 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:18:59.582993 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (109.441728ms) to execute
Oct 22 19:19:09 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:19:09.671896 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (478.849434ms) to execute
Oct 22 19:19:09 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:19:09.694274 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (378.264745ms) to execute
Oct 22 19:22:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:22:15.249225 I | mvcc: store.index: compact 33540680
Oct 22 19:22:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:22:15.259505 I | mvcc: finished scheduled compaction at 33540680 (took 8.806828ms)
Oct 22 19:22:17 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:22:17.069253 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kuberneteses\" range_end:\"/registry/config.istio.io/kuberneteset\" count_only:true " with result "range_response_count:0 size:9" took too long (1.556447975s) to execute
Oct 22 19:22:17 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:22:17.069461 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:20 size:82180" took too long (1.525975415s) to execute
Oct 22 19:22:17 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:22:17.069831 W | etcdserver: request "header:<ID:14919139082522975849 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:33541306 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (530.558726ms) to execute
Oct 22 19:22:17 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:22:17.092078 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (405.785756ms) to execute
Oct 22 19:22:20 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:22:20.436830 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (186.840411ms) to execute
Oct 22 19:22:20 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:22:20.467760 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-security-post-install-account-token-89qr5\" " with result "range_response_count:1 size:2489" took too long (128.751152ms) to execute
Oct 22 19:23:17 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:23:17.673489 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (164.768661ms) to execute
Oct 22 19:23:29 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:23:29.204196 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (662.055171ms) to execute
Oct 22 19:23:30 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:23:30.607812 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-mixer-service-account-token-pzsfk\" " with result "range_response_count:1 size:2433" took too long (116.003751ms) to execute
Oct 22 19:23:57 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:23:57.827778 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (316.577697ms) to execute
Oct 22 19:23:57 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:23:57.847718 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets\" range_end:\"/registry/poddisruptionbudgett\" count_only:true " with result "range_response_count:0 size:9" took too long (329.001038ms) to execute
Oct 22 19:24:12 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:24:12.778557 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (599.300215ms) to execute
Oct 22 19:24:12 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:24:12.778788 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (699.024333ms) to execute
Oct 22 19:25:12 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:25:12.887496 I | etcdserver: start to snapshot (applied: 37054630, lastsnap: 37044629)
Oct 22 19:25:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:25:13.547028 I | etcdserver: saved snapshot at index 37054630
Oct 22 19:25:13 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:25:13.547389 I | etcdserver: compacted raft log at 37049630
Oct 22 19:25:37 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:25:37.803364 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000013-000000000234a52a.snap successfully
Oct 22 19:26:38 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:26:38.741563 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (149.894482ms) to execute
Oct 22 19:27:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:27:15.261541 I | mvcc: store.index: compact 33541324
Oct 22 19:27:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:27:15.268004 I | mvcc: finished scheduled compaction at 33541324 (took 4.651509ms)
Oct 22 19:30:21 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:30:21.513806 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/metrics\" range_end:\"/registry/config.istio.io/metrict\" count_only:true " with result "range_response_count:0 size:9" took too long (322.386588ms) to execute
Oct 22 19:31:24 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:31:24.803675 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (443.991868ms) to execute
Oct 22 19:32:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:32:15.274116 I | mvcc: store.index: compact 33541858
Oct 22 19:32:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:32:15.284580 I | mvcc: finished scheduled compaction at 33541858 (took 7.375586ms)
Oct 22 19:32:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:32:15.466076 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (116.758197ms) to execute
Oct 22 19:32:24 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:32:24.700968 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (199.977655ms) to execute
Oct 22 19:35:41 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:35:41.781475 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (167.906254ms) to execute
Oct 22 19:35:41 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 19:35:41.781642 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/quotaspecbindings\" range_end:\"/registry/config.istio.io/quotaspecbindingt\" count_only:true " with result "range_response_count:0 size:7" took too long (185.590192ms) to execute
