-- Logs begin at Wed 2019-12-18 15:20:13 UTC, end at Fri 2019-12-20 01:05:17 UTC. --
Dec 20 00:43:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:43:48.247728 I | etcdserver: start to snapshot (applied: 49776120, lastsnap: 49766119)
Dec 20 00:43:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:43:48.336584 I | etcdserver: saved snapshot at index 49776120
Dec 20 00:43:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:43:48.337248 I | etcdserver: compacted raft log at 49771120
Dec 20 00:44:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:44:15.560203 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002f6c2a3.snap successfully
Dec 20 00:44:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:44:35.073429 W | etcdserver: request "header:<ID:14919139277707966519 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-bj7r5\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-bj7r5\" value_size:2578 >> failure:<>>" with result "size:20" took too long (137.041623ms) to execute
Dec 20 00:44:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:44:35.338814 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (192.061568ms) to execute
Dec 20 00:44:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:44:35.374867 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-dt6lb\" " with result "range_response_count:1 size:2738" took too long (185.303595ms) to execute
Dec 20 00:44:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:44:35.375200 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-kube-state-metrics\" " with result "range_response_count:1 size:498" took too long (204.567569ms) to execute
Dec 20 00:44:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:44:50.105401 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (177.058666ms) to execute
Dec 20 00:44:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:44:50.105707 W | etcdserver: request "header:<ID:14919139277707966762 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-zz6tz.15e1edb135e976b4\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-zz6tz.15e1edb135e976b4\" value_size:444 lease:5695767240853190693 >> failure:<>>" with result "size:20" took too long (156.156786ms) to execute
Dec 20 00:44:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:44:50.105969 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (168.98047ms) to execute
Dec 20 00:44:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:44:50.106379 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-zz6tz\" " with result "range_response_count:1 size:2738" took too long (164.171766ms) to execute
Dec 20 00:44:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:44:50.106594 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1154" took too long (172.408162ms) to execute
Dec 20 00:44:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:44:50.106808 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (164.89768ms) to execute
Dec 20 00:45:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:45:09.024872 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:4 size:16442" took too long (203.771221ms) to execute
Dec 20 00:46:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:46:04.319459 I | mvcc: store.index: compact 45158542
Dec 20 00:46:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:46:04.328989 I | mvcc: finished scheduled compaction at 45158542 (took 7.848941ms)
Dec 20 00:46:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:46:05.456924 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets\" range_end:\"/registry/poddisruptionbudgett\" count_only:true " with result "range_response_count:0 size:9" took too long (422.299852ms) to execute
Dec 20 00:46:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:46:05.457078 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (611.630572ms) to execute
Dec 20 00:46:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:46:05.457284 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/podmonitors\" range_end:\"/registry/monitoring.coreos.com/podmonitort\" count_only:true " with result "range_response_count:0 size:7" took too long (472.164847ms) to execute
Dec 20 00:46:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:46:05.457477 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6260" took too long (590.668963ms) to execute
Dec 20 00:46:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:46:05.457514 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (540.182536ms) to execute
Dec 20 00:46:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:46:05.457838 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.001533183s) to execute
Dec 20 00:48:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:48:41.874070 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (888.126573ms) to execute
Dec 20 00:48:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:48:42.139206 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (1.152056694s) to execute
Dec 20 00:48:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:48:42.139254 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4430" took too long (761.249364ms) to execute
Dec 20 00:48:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:48:42.139366 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (258.747318ms) to execute
Dec 20 00:48:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 00:48:42.139472 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (574.899219ms) to execute
