-- Logs begin at Sat 2020-02-01 07:14:07 UTC, end at Sun 2020-02-02 17:59:53 UTC. --
Feb 02 17:36:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 17:36:51.591990 I | etcdserver: start to snapshot (applied: 58927414, lastsnap: 58917413)
Feb 02 17:36:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 17:36:51.799861 I | etcdserver: saved snapshot at index 58927414
Feb 02 17:36:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 17:36:51.800159 I | etcdserver: compacted raft log at 58922414
Feb 02 17:36:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 17:36:53.360522 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (121.233332ms) to execute
Feb 02 17:36:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 17:36:53.402343 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5rvrt\" " with result "range_response_count:1 size:2946" took too long (149.883884ms) to execute
Feb 02 17:36:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 17:36:53.402421 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4168" took too long (162.154836ms) to execute
Feb 02 17:36:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 17:36:53.402451 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (162.311482ms) to execute
Feb 02 17:36:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 17:36:53.625458 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kqgf6\" " with result "range_response_count:1 size:2946" took too long (190.134009ms) to execute
Feb 02 17:36:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 17:36:53.625841 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (199.358452ms) to execute
Feb 02 17:36:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 17:36:53.625872 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-psgv4\" " with result "range_response_count:1 size:2946" took too long (219.287779ms) to execute
Feb 02 17:36:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 17:36:53.626060 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (199.620876ms) to execute
