-- Logs begin at Tue 2019-12-17 22:38:51 UTC, end at Thu 2019-12-19 09:13:15 UTC. --
Dec 19 08:52:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:52:32.406590 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000637-0000000002f4f6f8.wal is created
Dec 19 08:52:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:52:44.491575 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000632-0000000002f25daa.wal successfully
Dec 19 08:54:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:54:25.749035 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (136.870757ms) to execute
Dec 19 08:54:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:54:25.749138 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (324.590944ms) to execute
Dec 19 08:54:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:54:25.749241 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (463.673822ms) to execute
Dec 19 08:54:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:54:25.749639 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (237.618025ms) to execute
Dec 19 08:54:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:54:25.749770 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (872.188629ms) to execute
Dec 19 08:54:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:54:25.749852 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-rq4ch.15e1b9ba0839545f\" " with result "range_response_count:1 size:587" took too long (105.490224ms) to execute
Dec 19 08:55:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:55:00.660987 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (736.931616ms) to execute
Dec 19 08:55:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:55:50.467110 I | mvcc: store.index: compact 45003899
Dec 19 08:55:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:55:50.473925 I | mvcc: finished scheduled compaction at 45003899 (took 5.719903ms)
Dec 19 08:56:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:56:21.708061 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (148.890344ms) to execute
Dec 19 08:56:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:56:21.708111 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rq4jm\" " with result "range_response_count:1 size:1121" took too long (131.915681ms) to execute
Dec 19 08:56:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:56:21.708409 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-prometheus\" " with result "range_response_count:1 size:422" took too long (151.279429ms) to execute
Dec 19 08:56:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:56:21.709565 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (149.190544ms) to execute
Dec 19 08:56:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:56:21.709754 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (150.436855ms) to execute
Dec 19 08:56:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:56:21.709985 W | etcdserver: request "header:<ID:14919139277707364249 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-wmksv\" mod_revision:45004688 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-wmksv\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-wmksv\" > >>" with result "size:20" took too long (107.496009ms) to execute
Dec 19 08:56:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:56:36.169160 W | wal: sync duration of 1.798839988s, expected less than 1s
Dec 19 08:56:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:56:36.171811 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (566.876466ms) to execute
Dec 19 08:56:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:56:36.172083 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.040288095s) to execute
Dec 19 08:56:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:56:39.871019 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (686.379342ms) to execute
Dec 19 08:57:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:57:04.504471 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (193.284614ms) to execute
Dec 19 08:57:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:57:04.504620 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (229.721629ms) to execute
Dec 19 08:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:57:12.622770 W | wal: sync duration of 1.483471193s, expected less than 1s
Dec 19 08:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:57:12.633456 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (1.081908456s) to execute
Dec 19 08:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:57:12.659279 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (115.975758ms) to execute
