-- Logs begin at Thu 2020-01-30 08:00:47 UTC, end at Sat 2020-02-01 05:55:40 UTC. --
Feb 01 05:34:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:34:13.086027 I | mvcc: store.index: compact 53121431
Feb 01 05:34:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:34:13.094081 I | mvcc: finished scheduled compaction at 53121431 (took 6.411695ms)
Feb 01 05:35:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:35:07.942229 W | etcdserver: request "header:<ID:14919139277751011682 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-vmv76\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-vmv76\" value_size:2578 >> failure:<>>" with result "size:20" took too long (117.535796ms) to execute
Feb 01 05:35:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:35:08.176202 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (140.922056ms) to execute
Feb 01 05:36:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:36:08.107527 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:834" took too long (147.107082ms) to execute
Feb 01 05:36:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:36:08.113947 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (101.691793ms) to execute
Feb 01 05:36:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:36:08.114261 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (149.191059ms) to execute
Feb 01 05:36:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:36:23.154331 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-xxtmm\" " with result "range_response_count:1 size:2738" took too long (179.984525ms) to execute
Feb 01 05:36:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:36:23.154562 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/handlers\" range_end:\"/registry/config.istio.io/handlert\" count_only:true " with result "range_response_count:0 size:9" took too long (142.192541ms) to execute
Feb 01 05:36:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:36:23.154602 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1150" took too long (160.824173ms) to execute
Feb 01 05:36:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:36:23.154634 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (108.045922ms) to execute
Feb 01 05:36:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:36:23.154741 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (183.85437ms) to execute
Feb 01 05:39:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:39:13.098281 I | mvcc: store.index: compact 53123175
Feb 01 05:39:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 05:39:13.107331 I | mvcc: finished scheduled compaction at 53123175 (took 7.10166ms)
