-- Logs begin at Thu 2020-01-30 14:51:24 UTC, end at Sat 2020-02-01 07:35:41 UTC. --
Feb 01 07:12:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:28.000753 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (273.586268ms) to execute
Feb 01 07:12:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:28.438097 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/flannel-token-gkg9c\" " with result "range_response_count:1 size:2283" took too long (165.32596ms) to execute
Feb 01 07:12:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:28.438383 W | etcdserver: read-only range request "key:\"/registry/services/specs\" range_end:\"/registry/services/spect\" count_only:true " with result "range_response_count:0 size:9" took too long (313.775741ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.101428 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.batch\" " with result "range_response_count:1 size:622" took too long (1.057034753s) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.101467 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:3990" took too long (907.75379ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.101503 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4240" took too long (535.839462ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.101623 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (130.008846ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.101727 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1892" took too long (719.022586ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.101743 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.policy\" " with result "range_response_count:1 size:625" took too long (1.055262082s) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.101806 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.events.k8s.io\" " with result "range_response_count:1 size:646" took too long (1.0551722s) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.101913 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.batch\" " with result "range_response_count:1 size:608" took too long (1.055267017s) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.102048 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authorization.k8s.io\" " with result "range_response_count:1 size:653" took too long (1.057791511s) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.102127 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-citadel-service-account-token-jfsg6\" " with result "range_response_count:1 size:2447" took too long (697.733422ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.341518 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4164" took too long (114.479027ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.382106 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (108.236188ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.382486 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-f7zml\" " with result "range_response_count:1 size:2946" took too long (138.636912ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.382539 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (154.559668ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.383282 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (154.722317ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.578392 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (204.768326ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.578752 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (209.875477ms) to execute
