-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Thu 2019-10-10 16:13:18 UTC. --
Oct 10 15:52:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:52:29.430360 I | mvcc: store.index: compact 32153753
Oct 10 15:52:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:52:29.436538 I | mvcc: finished scheduled compaction at 32153753 (took 3.994397ms)
Oct 10 15:53:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:53:22.830820 W | etcdserver: request "header:<ID:14919138748426917539 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5.15cc5411241868f5\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5.15cc5411241868f5\" value_size:403 lease:5695766711572141493 >> failure:<>>" with result "size:20" took too long (176.151077ms) to execute
Oct 10 15:53:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:53:22.831795 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:675" took too long (182.534194ms) to execute
Oct 10 15:53:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:53:22.839535 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (189.745128ms) to execute
Oct 10 15:53:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:53:22.839564 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/coredns\" " with result "range_response_count:1 size:3542" took too long (186.587155ms) to execute
Oct 10 15:53:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:53:22.839833 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-4n66v\" " with result "range_response_count:1 size:2738" took too long (130.529328ms) to execute
Oct 10 15:53:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:53:23.080258 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-xv4fc\" " with result "range_response_count:1 size:2738" took too long (108.485228ms) to execute
Oct 10 15:53:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:53:23.080387 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (167.49103ms) to execute
Oct 10 15:53:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:53:23.080611 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:675" took too long (154.311039ms) to execute
Oct 10 15:53:37 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:53:37.805709 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1149" took too long (133.3771ms) to execute
Oct 10 15:53:37 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:53:37.856712 W | etcdserver: read-only range request "key:\"/registry/services/specs\" range_end:\"/registry/services/spect\" count_only:true " with result "range_response_count:0 size:9" took too long (168.799809ms) to execute
Oct 10 15:53:37 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:53:37.857087 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (128.314233ms) to execute
Oct 10 15:53:37 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:53:37.857175 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-frb2g\" " with result "range_response_count:1 size:2738" took too long (134.278789ms) to execute
Oct 10 15:53:37 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:53:37.857205 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (170.391172ms) to execute
Oct 10 15:53:37 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:53:37.860521 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (171.331461ms) to execute
Oct 10 15:53:38 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:53:38.028434 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (126.437782ms) to execute
Oct 10 15:53:38 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:53:38.028500 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (133.585563ms) to execute
Oct 10 15:53:38 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:53:38.028572 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (149.13128ms) to execute
Oct 10 15:53:38 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:53:38.028667 W | etcdserver: read-only range request "key:\"/registry/jobs/\" range_end:\"/registry/jobs0\" " with result "range_response_count:6 size:13606" took too long (150.932157ms) to execute
Oct 10 15:57:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:57:29.444178 I | mvcc: store.index: compact 32155629
Oct 10 15:57:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:57:29.452666 I | mvcc: finished scheduled compaction at 32155629 (took 6.439289ms)
Oct 10 15:57:30 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 15:57:30.757320 W | etcdserver: request "header:<ID:14919138748426920651 > lease_revoke:<id:4f0b6da58ec0a1fb>" with result "size:29" took too long (364.546489ms) to execute
Oct 10 16:00:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:00:22.042725 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000481-00000000021e03e1.wal is created
Oct 10 16:00:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:00:23.849927 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/000000000000047c-00000000021bb893.wal successfully
Oct 10 16:01:24 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:01:24.597386 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (106.746197ms) to execute
Oct 10 16:01:24 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:01:24.597502 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (315.183149ms) to execute
Oct 10 16:02:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:02:29.458623 I | mvcc: store.index: compact 32156563
Oct 10 16:02:29 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:02:29.467441 I | mvcc: finished scheduled compaction at 32156563 (took 6.516512ms)
Oct 10 16:03:04 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:03:04.280515 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (348.599571ms) to execute
Oct 10 16:03:04 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:03:04.280743 W | etcdserver: request "header:<ID:14919138748426924475 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:32157415 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:7976 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (178.420515ms) to execute
Oct 10 16:03:04 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:03:04.280839 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (411.828181ms) to execute
Oct 10 16:05:00 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:05:00.672355 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (140.874899ms) to execute
Oct 10 16:05:08 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 16:05:08.920842 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (432.479583ms) to execute
