-- Logs begin at Thu 2019-10-31 12:25:57 UTC, end at Sun 2019-11-03 01:08:14 UTC. --
Nov 03 00:46:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:46:11.389638 N | compactor: Starting auto-compaction at revision 35694503
Nov 03 00:46:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:46:11.390016 N | compactor: Finished auto-compaction at revision 35694503
Nov 03 00:46:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:46:26.059038 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (257.291222ms) to execute
Nov 03 00:46:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:46:26.460202 W | etcdserver: read-only range request "key:\"/registry/configmaps\" range_end:\"/registry/configmapt\" count_only:true " with result "range_response_count:0 size:9" took too long (187.443732ms) to execute
Nov 03 00:46:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:46:26.460268 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (297.323051ms) to execute
Nov 03 00:46:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:46:26.460503 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (169.451845ms) to execute
Nov 03 00:46:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:46:54.887948 I | mvcc: store.index: compact 35772370
Nov 03 00:46:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:46:54.895017 I | mvcc: finished scheduled compaction at 35772370 (took 5.685652ms)
Nov 03 00:47:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:47:15.449143 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/deniers\" range_end:\"/registry/config.istio.io/deniert\" count_only:true " with result "range_response_count:0 size:7" took too long (141.689628ms) to execute
Nov 03 00:47:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:47:20.414837 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:694" took too long (729.984295ms) to execute
Nov 03 00:47:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:47:20.414868 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.scheduling.k8s.io\" " with result "range_response_count:1 size:659" took too long (730.019947ms) to execute
Nov 03 00:47:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:47:20.414896 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/zipkins\" range_end:\"/registry/config.istio.io/zipkint\" count_only:true " with result "range_response_count:0 size:7" took too long (514.141414ms) to execute
Nov 03 00:47:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:47:20.414964 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (777.429521ms) to execute
Nov 03 00:47:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:47:20.415040 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (378.844644ms) to execute
Nov 03 00:47:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:47:20.415090 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authentication.k8s.io\" " with result "range_response_count:1 size:670" took too long (729.74966ms) to execute
Nov 03 00:47:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:47:20.415139 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/listentries\" range_end:\"/registry/config.istio.io/listentriet\" count_only:true " with result "range_response_count:0 size:7" took too long (531.028182ms) to execute
Nov 03 00:47:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 00:47:20.415202 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authorization.k8s.io\" " with result "range_response_count:1 size:653" took too long (729.93378ms) to execute
