-- Logs begin at Thu 2019-10-24 21:08:27 UTC, end at Thu 2019-10-31 10:19:35 UTC. --
Oct 31 09:59:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:59:27.915633 W | etcdserver: request "header:<ID:14919139277656300020 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-dl5c6.15d2b2f0ee403ca9\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-dl5c6.15d2b2f0ee403ca9\" value_size:392 lease:5695767240801523988 >> failure:<>>" with result "size:20" took too long (141.364133ms) to execute
Oct 31 09:59:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:59:27.916038 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d2b2cdffd2adb4\" " with result "range_response_count:1 size:485" took too long (143.850845ms) to execute
Oct 31 09:59:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:59:27.916373 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-tfjm5\" " with result "range_response_count:1 size:1121" took too long (143.621831ms) to execute
Oct 31 09:59:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:59:27.916679 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dl5c6\" " with result "range_response_count:1 size:1121" took too long (135.314502ms) to execute
Oct 31 09:59:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:59:27.916801 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dh2jb\" " with result "range_response_count:1 size:1118" took too long (143.854351ms) to execute
Oct 31 09:59:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 09:59:27.917043 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mkxcr\" " with result "range_response_count:1 size:1121" took too long (140.458587ms) to execute
Oct 31 10:01:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:01:04.827326 I | mvcc: store.index: compact 35147395
Oct 31 10:01:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:01:04.834825 I | mvcc: finished scheduled compaction at 35147395 (took 5.949366ms)
Oct 31 10:02:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:02:16.849478 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dvpn5\" " with result "range_response_count:1 size:1855" took too long (112.246129ms) to execute
Oct 31 10:05:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:05:32.904621 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (192.828903ms) to execute
Oct 31 10:06:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:06:04.840277 I | mvcc: store.index: compact 35148328
Oct 31 10:06:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:06:04.845129 I | mvcc: finished scheduled compaction at 35148328 (took 3.910816ms)
Oct 31 10:06:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:06:05.157782 W | etcdserver: request "header:<ID:14919139277656303550 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:35149022 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (206.398012ms) to execute
Oct 31 10:06:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:06:05.158456 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (122.41761ms) to execute
Oct 31 10:09:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:09:18.183286 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (483.706634ms) to execute
Oct 31 10:09:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:09:18.183538 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (203.284398ms) to execute
Oct 31 10:11:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:11:04.863649 I | mvcc: store.index: compact 35149048
Oct 31 10:11:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:11:04.868758 I | mvcc: finished scheduled compaction at 35149048 (took 4.145712ms)
Oct 31 10:16:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:16:04.883318 I | mvcc: store.index: compact 35149706
Oct 31 10:16:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 10:16:04.890123 I | mvcc: finished scheduled compaction at 35149706 (took 4.67671ms)
