-- Logs begin at Wed 2019-09-25 21:44:06 UTC, end at Fri 2019-09-27 12:58:21 UTC. --
Sep 27 12:36:25 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:36:25.567165 W | etcdserver: request "header:<ID:14919135698845292301 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-5mhsd\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-5mhsd\" value_size:976 >> failure:<>>" with result "size:20" took too long (128.696497ms) to execute
Sep 27 12:36:25 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:36:25.567940 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (131.648815ms) to execute
Sep 27 12:36:25 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:36:25.586578 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-g4h7d\" " with result "range_response_count:1 size:1121" took too long (143.951966ms) to execute
Sep 27 12:36:25 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:36:25.586738 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (150.410459ms) to execute
Sep 27 12:36:25 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:36:25.805059 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (149.89392ms) to execute
Sep 27 12:36:25 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:36:25.805431 W | etcdserver: request "header:<ID:14919135698845292331 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15c84bc667dd07f5\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15c84bc667dd07f5\" value_size:386 lease:5695763661990516472 >> failure:<>>" with result "size:20" took too long (129.384016ms) to execute
Sep 27 12:36:25 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:36:25.820884 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dds55\" " with result "range_response_count:1 size:1121" took too long (156.06539ms) to execute
Sep 27 12:36:25 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:36:25.843809 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (160.318327ms) to execute
Sep 27 12:36:26 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:36:26.023784 W | etcdserver: request "header:<ID:14919135698845292359 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-z5vvk\" mod_revision:30533684 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-z5vvk\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-z5vvk\" > >>" with result "size:20" took too long (113.961943ms) to execute
Sep 27 12:36:39 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:36:39.013100 I | mvcc: store.index: compact 30532934
Sep 27 12:36:39 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:36:39.018188 I | mvcc: finished scheduled compaction at 30532934 (took 3.96639ms)
Sep 27 12:36:39 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:36:39.209155 W | etcdserver: request "header:<ID:14919135698845292565 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:30533780 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (146.099765ms) to execute
Sep 27 12:41:39 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:41:39.052904 I | mvcc: store.index: compact 30533833
Sep 27 12:41:39 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:41:39.061226 I | mvcc: finished scheduled compaction at 30533833 (took 6.892258ms)
Sep 27 12:41:39 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:41:39.287999 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:9" took too long (148.650706ms) to execute
Sep 27 12:43:10 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:43:10.670075 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (583.562388ms) to execute
Sep 27 12:46:39 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:46:39.118409 I | mvcc: store.index: compact 30534926
Sep 27 12:46:39 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:46:39.127006 I | mvcc: finished scheduled compaction at 30534926 (took 6.805257ms)
Sep 27 12:51:39 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:51:39.170428 I | mvcc: store.index: compact 30536008
Sep 27 12:51:39 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:51:39.177295 I | mvcc: finished scheduled compaction at 30536008 (took 5.388451ms)
Sep 27 12:51:39 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:51:39.385278 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-cvvpw\" " with result "range_response_count:1 size:2448" took too long (158.116394ms) to execute
Sep 27 12:52:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:52:02.426556 W | wal: sync duration of 1.040888234s, expected less than 1s
Sep 27 12:52:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:52:02.429735 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-sxcmt\" " with result "range_response_count:1 size:1855" took too long (772.07757ms) to execute
Sep 27 12:52:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:52:02.429871 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (351.585015ms) to execute
Sep 27 12:52:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:52:02.430115 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (947.377018ms) to execute
Sep 27 12:52:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:52:03.320842 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (877.092333ms) to execute
Sep 27 12:52:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:52:03.328881 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (180.345637ms) to execute
Sep 27 12:52:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:52:03.328905 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (885.213381ms) to execute
Sep 27 12:52:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 12:52:33.055885 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (272.906638ms) to execute
