-- Logs begin at Wed 2020-01-29 20:49:21 UTC, end at Fri 2020-01-31 16:13:24 UTC. --
Jan 31 15:50:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:50:30.858852 W | etcdserver: request "header:<ID:14919139277750479080 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-db6vv\" mod_revision:52983251 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-db6vv\" value_size:1422 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-db6vv\" > >>" with result "size:20" took too long (102.564958ms) to execute
Jan 31 15:50:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:50:46.149822 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-bsdrw\" " with result "range_response_count:1 size:1121" took too long (164.835906ms) to execute
Jan 31 15:50:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:50:46.150670 W | etcdserver: request "header:<ID:14919139277750479230 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-c7kmw.15ef0380cd7b2efb\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-c7kmw.15ef0380cd7b2efb\" value_size:392 lease:5695767240895703249 >> failure:<>>" with result "size:20" took too long (145.371839ms) to execute
Jan 31 15:50:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:50:46.165375 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hbw9w\" " with result "range_response_count:1 size:1121" took too long (171.1368ms) to execute
Jan 31 15:53:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:53:03.481973 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1406" took too long (101.136721ms) to execute
Jan 31 15:53:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:53:34.051288 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (734.403104ms) to execute
Jan 31 15:53:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:53:34.051415 W | etcdserver: request "header:<ID:14919139277750480782 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:52983757 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4164 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (503.472606ms) to execute
Jan 31 15:53:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:53:34.051515 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (269.393909ms) to execute
Jan 31 15:53:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:53:34.051549 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-znkz6.15ef038e3cb444a9\" " with result "range_response_count:1 size:592" took too long (724.596884ms) to execute
Jan 31 15:53:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:53:51.023924 I | mvcc: store.index: compact 52982964
Jan 31 15:53:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:53:51.030173 I | mvcc: finished scheduled compaction at 52982964 (took 5.17774ms)
Jan 31 15:55:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:55:05.757437 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (135.417441ms) to execute
Jan 31 15:55:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:55:25.159594 W | etcdserver: request "header:<ID:14919139277750481911 > lease_revoke:<id:4f0b6e20cce5336e>" with result "size:29" took too long (288.702575ms) to execute
Jan 31 15:55:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:55:31.544353 W | etcdserver: request "header:<ID:14919139277750482013 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-4zqs2.15ef03c342fda3b2\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-4zqs2.15ef03c342fda3b2\" value_size:389 lease:5695767240895705645 >> failure:<>>" with result "size:20" took too long (121.276265ms) to execute
Jan 31 15:55:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:55:31.544942 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2972l\" " with result "range_response_count:1 size:1121" took too long (128.479717ms) to execute
Jan 31 15:55:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:55:31.545173 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4zqs2\" " with result "range_response_count:1 size:1118" took too long (127.746155ms) to execute
Jan 31 15:55:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:55:46.085279 W | etcdserver: request "header:<ID:14919139277750482158 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:52984245 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (347.429295ms) to execute
Jan 31 15:55:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:55:46.085709 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (177.28544ms) to execute
Jan 31 15:55:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:55:46.091355 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (146.577334ms) to execute
Jan 31 15:55:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:55:49.879097 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-c7kmw.15ef038f6ec4e116\" " with result "range_response_count:1 size:590" took too long (256.048925ms) to execute
Jan 31 15:55:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:55:49.879342 W | etcdserver: request "header:<ID:14919139277750482197 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-2972l.15ef03be4d887d26\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-2972l.15ef03be4d887d26\" value_size:486 lease:5695767240895706285 >> failure:<>>" with result "size:20" took too long (110.476478ms) to execute
Jan 31 15:55:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:55:51.326125 W | etcdserver: request "header:<ID:14919139277750482199 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:52984228 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:3798 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (1.262204094s) to execute
Jan 31 15:55:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:55:51.326602 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.21278235s) to execute
Jan 31 15:55:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:55:51.326860 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (1.209581502s) to execute
Jan 31 15:55:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:55:51.327261 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (585.288777ms) to execute
Jan 31 15:55:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 15:55:51.327534 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (653.573203ms) to execute
