-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Tue 2019-11-05 05:21:40 UTC. --
Nov 05 04:59:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 04:59:42.040546 W | wal: sync duration of 1.793445565s, expected less than 1s
Nov 05 04:59:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 04:59:42.043339 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.117524033s) to execute
Nov 05 04:59:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 04:59:48.258653 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (200.063776ms) to execute
Nov 05 04:59:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 04:59:48.258717 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (186.44461ms) to execute
Nov 05 04:59:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 04:59:56.518792 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (201.021707ms) to execute
Nov 05 04:59:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 04:59:56.519861 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (224.219455ms) to execute
Nov 05 05:00:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:00:03.091576 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (540.24821ms) to execute
Nov 05 05:00:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:00:03.091716 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (535.117489ms) to execute
Nov 05 05:00:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:00:12.578581 W | wal: sync duration of 1.431237368s, expected less than 1s
Nov 05 05:00:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:00:17.868424 W | etcdserver: read-only range request "key:\"/registry/leases\" range_end:\"/registry/leaset\" count_only:true " with result "range_response_count:0 size:7" took too long (481.6959ms) to execute
Nov 05 05:00:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:00:56.781734 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (306.61617ms) to execute
Nov 05 05:00:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:00:57.681007 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (872.391974ms) to execute
Nov 05 05:00:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:00:57.700707 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (312.087344ms) to execute
Nov 05 05:00:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:00:57.700963 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (352.008882ms) to execute
Nov 05 05:00:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:00:57.701190 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (892.55034ms) to execute
Nov 05 05:00:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:00:57.925032 W | etcdserver: request "header:<ID:14919139277660636339 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:36239111 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (113.794994ms) to execute
Nov 05 05:00:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:00:57.925537 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-s528x.15d42b88f71fcbc1\" " with result "range_response_count:1 size:591" took too long (117.989893ms) to execute
Nov 05 05:01:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:01:07.269011 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-f2p4q\" " with result "range_response_count:1 size:1740" took too long (566.551815ms) to execute
Nov 05 05:01:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 05:01:20.291347 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (231.99966ms) to execute
