-- Logs begin at Thu 2020-01-30 08:00:47 UTC, end at Sat 2020-02-01 07:10:35 UTC. --
Feb 01 06:47:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:47:57.712017 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-00000000037cc068.snap successfully
Feb 01 06:47:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:47:59.325508 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (524.9465ms) to execute
Feb 01 06:47:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:47:59.331034 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:694" took too long (304.431588ms) to execute
Feb 01 06:47:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:47:59.331128 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:692" took too long (306.777566ms) to execute
Feb 01 06:47:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:47:59.331352 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (526.932565ms) to execute
Feb 01 06:47:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:47:59.331421 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.coordination.k8s.io\" " with result "range_response_count:1 size:664" took too long (304.11926ms) to execute
Feb 01 06:47:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:47:59.331538 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha3.networking.istio.io\" " with result "range_response_count:1 size:671" took too long (304.720235ms) to execute
Feb 01 06:47:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:47:59.331836 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authorization.k8s.io\" " with result "range_response_count:1 size:667" took too long (304.513689ms) to execute
Feb 01 06:47:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:47:59.331868 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:3990" took too long (136.498504ms) to execute
Feb 01 06:48:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:48:04.655035 W | etcdserver: request "header:<ID:14919139277751055629 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-h7r2p\" mod_revision:53133922 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-h7r2p\" value_size:2870 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-h7r2p\" > >>" with result "size:20" took too long (125.96077ms) to execute
Feb 01 06:48:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:48:42.540673 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (566.302965ms) to execute
