-- Logs begin at Wed 2019-11-06 23:58:34 UTC, end at Sat 2019-11-09 19:44:11 UTC. --
Nov 09 19:22:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:22:20.422661 I | etcdserver: start to snapshot (applied: 41185066, lastsnap: 41175065)
Nov 09 19:22:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:22:20.590630 I | etcdserver: saved snapshot at index 41185066
Nov 09 19:22:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:22:20.591306 I | etcdserver: compacted raft log at 41180066
Nov 09 19:22:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:22:44.885914 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000273abd5.snap successfully
Nov 09 19:23:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:23:16.907931 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-telemetry\" " with result "range_response_count:1 size:959" took too long (141.529802ms) to execute
Nov 09 19:23:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:23:16.944281 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (151.096586ms) to execute
Nov 09 19:23:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:23:16.944559 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (170.043307ms) to execute
Nov 09 19:23:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:23:17.165837 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" " with result "range_response_count:1 size:784" took too long (174.948865ms) to execute
Nov 09 19:23:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:23:17.182428 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:676" took too long (174.779021ms) to execute
Nov 09 19:24:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:24:16.972201 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (167.587919ms) to execute
Nov 09 19:24:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:24:17.004413 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (178.289818ms) to execute
Nov 09 19:24:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:24:17.004625 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-gdqjn\" " with result "range_response_count:1 size:2738" took too long (159.076906ms) to execute
Nov 09 19:24:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:24:17.004648 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" " with result "range_response_count:1 size:771" took too long (182.301263ms) to execute
Nov 09 19:24:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:24:17.187571 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (117.830345ms) to execute
Nov 09 19:24:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:24:22.658624 I | mvcc: store.index: compact 37336916
Nov 09 19:24:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:24:22.668950 I | mvcc: finished scheduled compaction at 37336916 (took 4.79198ms)
Nov 09 19:24:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:24:23.095857 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/signalfxs\" range_end:\"/registry/config.istio.io/signalfxt\" count_only:true " with result "range_response_count:0 size:7" took too long (310.369632ms) to execute
Nov 09 19:27:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:27:17.239572 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (133.005724ms) to execute
Nov 09 19:27:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:27:17.243965 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4172" took too long (121.947038ms) to execute
Nov 09 19:27:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:27:17.244319 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (120.566944ms) to execute
Nov 09 19:27:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:27:17.244626 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (121.145844ms) to execute
Nov 09 19:28:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:28:23.524854 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (302.972877ms) to execute
Nov 09 19:28:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:28:23.525069 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (145.282ms) to execute
