-- Logs begin at Tue 2019-10-29 00:05:09 UTC, end at Fri 2019-11-01 22:03:37 UTC. --
Nov 01 21:43:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:43:36.844661 W | etcdserver: request "header:<ID:14919139277657666680 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-h5zsd.15d327f258348bd1\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-h5zsd.15d327f258348bd1\" value_size:389 lease:5695767240802890854 >> failure:<>>" with result "size:20" took too long (124.871836ms) to execute
Nov 01 21:43:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:43:36.860271 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-h5zsd\" " with result "range_response_count:1 size:2943" took too long (134.153712ms) to execute
Nov 01 21:43:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:43:37.095133 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d327cf86f60cf9\" " with result "range_response_count:1 size:485" took too long (170.776953ms) to execute
Nov 01 21:43:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:43:37.098753 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/heapster\" " with result "range_response_count:0 size:7" took too long (154.808892ms) to execute
Nov 01 21:43:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:43:37.098990 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gdbdl\" " with result "range_response_count:1 size:2943" took too long (122.127043ms) to execute
Nov 01 21:43:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:43:37.099375 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5f7g8\" " with result "range_response_count:1 size:2946" took too long (147.859608ms) to execute
Nov 01 21:45:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:45:37.082603 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d327cf86f60cf9\" " with result "range_response_count:1 size:485" took too long (146.803509ms) to execute
Nov 01 21:45:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:45:37.120680 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4ckmp\" " with result "range_response_count:1 size:2946" took too long (181.560013ms) to execute
Nov 01 21:45:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:45:37.316461 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (139.343237ms) to execute
Nov 01 21:45:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:45:37.347185 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (135.104252ms) to execute
Nov 01 21:46:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:46:08.514299 N | compactor: Starting auto-compaction at revision 35425144
Nov 01 21:46:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:46:08.514751 N | compactor: Finished auto-compaction at revision 35425144
Nov 01 21:46:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:46:37.630383 I | mvcc: store.index: compact 35506002
Nov 01 21:46:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:46:37.640169 I | mvcc: finished scheduled compaction at 35506002 (took 7.411922ms)
Nov 01 21:51:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:51:37.642940 I | mvcc: store.index: compact 35506784
Nov 01 21:51:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:51:37.652355 I | mvcc: finished scheduled compaction at 35506784 (took 7.738545ms)
Nov 01 21:56:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:56:37.766810 I | mvcc: store.index: compact 35507345
Nov 01 21:56:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:56:37.769456 W | etcdserver: request "header:<ID:14919139277657674857 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:35507345 > " with result "size:7" took too long (107.350317ms) to execute
Nov 01 21:56:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:56:37.775093 I | mvcc: finished scheduled compaction at 35507345 (took 5.748319ms)
Nov 01 21:59:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:59:40.490664 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1419" took too long (279.766916ms) to execute
Nov 01 21:59:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:59:40.495515 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (162.467242ms) to execute
Nov 01 21:59:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 21:59:40.495867 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (139.514842ms) to execute
Nov 01 22:00:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 22:00:14.708026 I | etcdserver: start to snapshot (applied: 39204853, lastsnap: 39194852)
Nov 01 22:00:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 22:00:14.847727 I | etcdserver: saved snapshot at index 39204853
Nov 01 22:00:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 22:00:14.847968 I | etcdserver: compacted raft log at 39199853
Nov 01 22:00:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 22:00:34.281939 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-00000000025574a0.snap successfully
Nov 01 22:01:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 22:01:37.780921 I | mvcc: store.index: compact 35507880
Nov 01 22:01:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 22:01:37.789372 I | mvcc: finished scheduled compaction at 35507880 (took 6.9864ms)
