-- Logs begin at Sun 2019-11-10 04:23:24 UTC, end at Tue 2019-11-12 09:39:06 UTC. --
Nov 12 09:19:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:19:26.807596 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000550-00000000027eb5b3.wal is created
Nov 12 09:19:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:19:49.954259 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/000000000000054b-00000000027c2597.wal successfully
Nov 12 09:20:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:20:45.665742 I | mvcc: store.index: compact 37959971
Nov 12 09:20:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:20:45.675278 I | mvcc: finished scheduled compaction at 37959971 (took 7.811241ms)
Nov 12 09:21:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:21:12.466867 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4164" took too long (134.343749ms) to execute
Nov 12 09:21:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:21:12.470815 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (138.481077ms) to execute
Nov 12 09:21:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:21:12.470854 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (138.410356ms) to execute
Nov 12 09:21:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:21:12.470983 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-z5rmf\" " with result "range_response_count:1 size:2946" took too long (116.44063ms) to execute
Nov 12 09:21:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:21:20.462519 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (169.400106ms) to execute
Nov 12 09:24:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:24:27.782456 W | etcdserver: request "header:<ID:14919139277667435982 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-ctt4d.15d65ffec4ff215c\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-ctt4d.15d65ffec4ff215c\" value_size:389 lease:5695767240812660161 >> failure:<>>" with result "size:20" took too long (125.808311ms) to execute
Nov 12 09:24:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:24:27.782911 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-lwr76\" " with result "range_response_count:1 size:2314" took too long (118.588469ms) to execute
Nov 12 09:24:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:24:27.817927 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (144.552995ms) to execute
Nov 12 09:24:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:24:27.817982 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (144.968269ms) to execute
Nov 12 09:24:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:24:27.818224 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ctt4d\" " with result "range_response_count:1 size:2943" took too long (116.948384ms) to execute
Nov 12 09:24:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:24:27.818358 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4164" took too long (144.935264ms) to execute
