-- Logs begin at Tue 2019-10-01 01:59:47 UTC, end at Wed 2019-10-02 17:14:53 UTC. --
Oct 02 16:53:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 16:53:34.548345 I | mvcc: store.index: compact 31473394
Oct 02 16:53:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 16:53:34.555633 I | mvcc: finished scheduled compaction at 31473394 (took 5.571113ms)
Oct 02 16:57:05 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 16:57:05.871670 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (142.07372ms) to execute
Oct 02 16:57:05 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 16:57:05.872098 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-telemetry-57658695c8\" " with result "range_response_count:1 size:2723" took too long (143.614251ms) to execute
Oct 02 16:57:05 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 16:57:05.875639 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (140.64679ms) to execute
Oct 02 16:58:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 16:58:34.563628 I | mvcc: store.index: compact 31474766
Oct 02 16:58:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 16:58:34.578466 I | mvcc: finished scheduled compaction at 31474766 (took 12.251341ms)
Oct 02 16:58:35 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 16:58:35.124112 W | etcdserver: request "header:<ID:14919135698849909569 > lease_revoke:<id:4f0b6adf85cc4a93>" with result "size:29" took too long (443.945636ms) to execute
Oct 02 16:58:35 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 16:58:35.124369 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (425.970172ms) to execute
Oct 02 16:58:35 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 16:58:35.163365 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/rbacconfigs\" range_end:\"/registry/rbac.istio.io/rbacconfigt\" count_only:true " with result "range_response_count:0 size:7" took too long (324.439464ms) to execute
Oct 02 16:58:35 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 16:58:35.164012 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (261.072866ms) to execute
Oct 02 17:00:15 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:00:15.704301 I | etcdserver: start to snapshot (applied: 34764347, lastsnap: 34754346)
Oct 02 17:00:15 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:00:15.764916 I | etcdserver: saved snapshot at index 34764347
Oct 02 17:00:15 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:00:15.765390 I | etcdserver: compacted raft log at 34759347
Oct 02 17:00:20 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:00:20.430188 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/000000000000000b-000000000211b2e6.snap successfully
Oct 02 17:03:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:03:34.578345 I | mvcc: store.index: compact 31475402
Oct 02 17:03:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:03:34.586173 I | mvcc: finished scheduled compaction at 31475402 (took 6.189703ms)
Oct 02 17:03:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:03:34.901922 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (139.324376ms) to execute
Oct 02 17:03:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:03:57.230019 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (192.272193ms) to execute
Oct 02 17:03:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:03:57.230165 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (113.836357ms) to execute
Oct 02 17:06:42 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:06:42.573129 W | etcdserver: request "header:<ID:14919135698849914458 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-pilot-759bbfd844.15c9e36d0217deaf\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-pilot-759bbfd844.15c9e36d0217deaf\" value_size:376 lease:5695763661995138636 >> failure:<>>" with result "size:20" took too long (123.730589ms) to execute
Oct 02 17:06:42 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:06:42.574747 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (124.198767ms) to execute
Oct 02 17:06:42 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:06:42.603353 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (151.581095ms) to execute
Oct 02 17:06:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:06:53.981017 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (118.92213ms) to execute
Oct 02 17:06:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:06:53.981070 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-hjxz9\" " with result "range_response_count:1 size:3080" took too long (124.744853ms) to execute
Oct 02 17:06:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:06:53.981497 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (117.920503ms) to execute
Oct 02 17:08:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:08:34.602337 I | mvcc: store.index: compact 31476061
Oct 02 17:08:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:08:34.613860 I | mvcc: finished scheduled compaction at 31476061 (took 8.530997ms)
Oct 02 17:08:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:08:34.900229 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (235.640858ms) to execute
Oct 02 17:08:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:08:34.900529 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/quotaspecs\" range_end:\"/registry/config.istio.io/quotaspect\" count_only:true " with result "range_response_count:0 size:7" took too long (231.050708ms) to execute
Oct 02 17:08:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:08:34.901088 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/templates\" range_end:\"/registry/config.istio.io/templatet\" count_only:true " with result "range_response_count:0 size:7" took too long (279.296473ms) to execute
Oct 02 17:11:00 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-02 17:11:00.414123 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (133.457161ms) to execute
