-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Thu 2019-10-10 12:07:41 UTC. --
Oct 10 11:47:27 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:47:27.850462 I | mvcc: store.index: compact 32105250
Oct 10 11:47:27 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:47:27.856833 I | mvcc: finished scheduled compaction at 32105250 (took 4.152464ms)
Oct 10 11:52:27 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:52:27.867335 I | mvcc: store.index: compact 32106875
Oct 10 11:52:27 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:52:27.877648 I | mvcc: finished scheduled compaction at 32106875 (took 8.171489ms)
Oct 10 11:52:28 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:52:28.426669 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (199.757987ms) to execute
Oct 10 11:52:28 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:52:28.426855 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (491.101412ms) to execute
Oct 10 11:57:27 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:57:27.880786 I | mvcc: store.index: compact 32107902
Oct 10 11:57:27 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:57:27.887355 I | mvcc: finished scheduled compaction at 32107902 (took 5.117125ms)
Oct 10 11:57:28 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 11:57:28.131247 W | etcdserver: request "header:<ID:14919138748426750008 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:32108835 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5896 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (105.381159ms) to execute
Oct 10 12:01:03 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 12:01:03.307197 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (453.29416ms) to execute
Oct 10 12:01:03 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 12:01:03.307694 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (700.536441ms) to execute
Oct 10 12:01:03 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 12:01:03.307916 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-2g84b.15cc475639272a03\" " with result "range_response_count:0 size:7" took too long (667.715195ms) to execute
Oct 10 12:01:03 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 12:01:03.308055 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (275.71326ms) to execute
Oct 10 12:02:27 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 12:02:27.995531 I | mvcc: store.index: compact 32108871
Oct 10 12:02:27 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 12:02:27.996638 W | etcdserver: request "header:<ID:14919138748426752912 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:32108871 > " with result "size:7" took too long (103.153342ms) to execute
Oct 10 12:02:28 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 12:02:28.003106 I | mvcc: finished scheduled compaction at 32108871 (took 6.536036ms)
