-- Logs begin at Sun 2019-10-27 23:59:01 UTC, end at Fri 2019-11-01 12:08:16 UTC. --
Nov 01 11:46:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 11:46:24.939447 I | etcdserver: start to snapshot (applied: 39094842, lastsnap: 39084841)
Nov 01 11:46:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 11:46:25.037798 I | etcdserver: saved snapshot at index 39094842
Nov 01 11:46:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 11:46:25.038422 I | etcdserver: compacted raft log at 39089842
Nov 01 11:46:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 11:46:32.381567 I | mvcc: store.index: compact 35405356
Nov 01 11:46:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 11:46:32.388564 I | mvcc: finished scheduled compaction at 35405356 (took 5.24425ms)
Nov 01 11:46:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 11:46:33.641036 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000253c6e5.snap successfully
Nov 01 11:47:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 11:47:40.748016 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7nmdr\" " with result "range_response_count:1 size:1118" took too long (164.23868ms) to execute
Nov 01 11:47:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 11:47:40.748595 W | etcdserver: request "header:<ID:14919139277657282394 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-r66fr\" mod_revision:35406371 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-r66fr\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-r66fr\" > >>" with result "size:20" took too long (137.55671ms) to execute
Nov 01 11:47:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 11:47:40.762946 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d307514de502b9\" " with result "range_response_count:1 size:485" took too long (171.550281ms) to execute
Nov 01 11:47:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 11:47:40.763243 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-z9x7p\" " with result "range_response_count:1 size:1121" took too long (171.880506ms) to execute
Nov 01 11:47:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 11:47:40.763363 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gxghq\" " with result "range_response_count:1 size:1121" took too long (159.094228ms) to execute
