-- Logs begin at Tue 2019-12-17 22:38:51 UTC, end at Thu 2019-12-19 12:31:01 UTC. --
Dec 19 12:08:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:08:44.747699 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000633-0000000002f2e183.wal successfully
Dec 19 12:10:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:10:34.057263 W | etcdserver: request "header:<ID:14919139277707480346 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15e1c4883a74cc2b\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15e1c4883a74cc2b\" value_size:354 lease:5695767240852704516 >> failure:<>>" with result "size:20" took too long (103.863254ms) to execute
Dec 19 12:10:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:10:34.058460 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (106.026865ms) to execute
Dec 19 12:10:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:10:34.071493 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (118.949533ms) to execute
Dec 19 12:10:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:10:34.071562 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (103.38461ms) to execute
Dec 19 12:10:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:10:34.071604 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8s5wh\" " with result "range_response_count:1 size:1121" took too long (115.210607ms) to execute
Dec 19 12:10:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:10:34.072082 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-bdg6b\" " with result "range_response_count:1 size:1121" took too long (115.191409ms) to execute
Dec 19 12:10:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:10:34.072391 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (119.756365ms) to execute
Dec 19 12:10:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:10:34.076443 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (123.786095ms) to execute
Dec 19 12:10:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:10:34.081829 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kr8bw\" " with result "range_response_count:1 size:1118" took too long (128.183462ms) to execute
Dec 19 12:10:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:10:54.182448 I | mvcc: store.index: compact 45036040
Dec 19 12:10:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:10:54.189816 I | mvcc: finished scheduled compaction at 45036040 (took 6.218053ms)
Dec 19 12:10:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:10:54.436742 W | etcdserver: request "header:<ID:14919139277707480560 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:45036786 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4164 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (195.666005ms) to execute
Dec 19 12:10:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:10:54.451539 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (177.292033ms) to execute
Dec 19 12:11:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:11:06.291097 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (1.128056042s) to execute
