-- Logs begin at Tue 2019-10-29 00:05:09 UTC, end at Fri 2019-11-01 19:43:57 UTC. --
Nov 01 19:22:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:22:44.709552 I | wal: segmented wal file /var/lib/etcd/member/wal/00000000000004fe-000000000255cd95.wal is created
Nov 01 19:23:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:23:04.131646 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/00000000000004f9-0000000002537520.wal successfully
Nov 01 19:23:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:23:30.689507 W | etcdserver: request "header:<ID:14919139277657570745 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-kcgfn\" mod_revision:35483150 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-kcgfn\" value_size:3503 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-kcgfn\" > >>" with result "size:20" took too long (105.916017ms) to execute
Nov 01 19:25:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:25:27.270614 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" " with result "range_response_count:1 size:2549" took too long (142.065849ms) to execute
Nov 01 19:25:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:25:27.270741 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-hm649\" " with result "range_response_count:1 size:2634" took too long (104.5072ms) to execute
Nov 01 19:25:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:25:27.270801 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (148.930944ms) to execute
Nov 01 19:25:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:25:27.270912 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (148.018419ms) to execute
Nov 01 19:25:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:25:27.271138 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-pilot\" " with result "range_response_count:1 size:685" took too long (120.049831ms) to execute
Nov 01 19:26:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:26:36.544099 I | mvcc: store.index: compact 35482920
Nov 01 19:26:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:26:36.554370 I | mvcc: finished scheduled compaction at 35482920 (took 8.257353ms)
Nov 01 19:26:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:26:37.193125 W | etcdserver: request "header:<ID:14919139277657572898 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:35483660 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:6088 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (263.390818ms) to execute
Nov 01 19:26:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:26:42.432754 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-telemetry-57658695c8\" " with result "range_response_count:1 size:2723" took too long (158.069358ms) to execute
Nov 01 19:31:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:31:36.556971 I | mvcc: store.index: compact 35483678
Nov 01 19:31:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:31:36.566246 I | mvcc: finished scheduled compaction at 35483678 (took 6.736313ms)
Nov 01 19:31:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:31:36.925669 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (174.1109ms) to execute
Nov 01 19:31:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:31:36.925823 W | etcdserver: request "header:<ID:14919139277657575833 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:35484303 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5896 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (107.764392ms) to execute
Nov 01 19:31:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:31:36.926064 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/edges\" range_end:\"/registry/config.istio.io/edget\" count_only:true " with result "range_response_count:0 size:7" took too long (117.451819ms) to execute
Nov 01 19:32:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:32:12.655447 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-telemetry-57658695c8-99r42\" " with result "range_response_count:1 size:3565" took too long (169.199343ms) to execute
Nov 01 19:32:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:32:12.694657 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitiont\" count_only:true " with result "range_response_count:0 size:9" took too long (158.456411ms) to execute
Nov 01 19:32:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:32:12.694964 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-9kvk8\" " with result "range_response_count:1 size:2997" took too long (200.155459ms) to execute
Nov 01 19:32:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:32:12.897007 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (161.177054ms) to execute
Nov 01 19:32:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:32:12.897080 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-9kvk8\" " with result "range_response_count:1 size:3009" took too long (142.614923ms) to execute
Nov 01 19:32:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:32:12.897115 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" " with result "range_response_count:1 size:2624" took too long (144.459289ms) to execute
Nov 01 19:32:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:32:12.897229 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (147.633089ms) to execute
Nov 01 19:32:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:32:50.408844 W | etcdserver: request "header:<ID:14919139277657576674 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/kube-system/prometheus-operator-prometheus-node-exporter-phxzz.15d2da46f399ca8c\" mod_revision:35483270 > success:<request_put:<key:\"/registry/events/kube-system/prometheus-operator-prometheus-node-exporter-phxzz.15d2da46f399ca8c\" value_size:540 lease:5695767240802800854 >> failure:<request_range:<key:\"/registry/events/kube-system/prometheus-operator-prometheus-node-exporter-phxzz.15d2da46f399ca8c\" > >>" with result "size:20" took too long (290.88728ms) to execute
Nov 01 19:32:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:32:50.409156 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (168.415693ms) to execute
Nov 01 19:33:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:12.772188 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" " with result "range_response_count:1 size:771" took too long (143.307331ms) to execute
Nov 01 19:33:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:22.913977 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (158.002112ms) to execute
Nov 01 19:33:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:22.914320 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" " with result "range_response_count:1 size:2624" took too long (161.214624ms) to execute
Nov 01 19:33:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:22.914495 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:689" took too long (169.499642ms) to execute
Nov 01 19:33:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:22.953151 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1306" took too long (176.485253ms) to execute
Nov 01 19:33:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:22.953322 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (172.873832ms) to execute
Nov 01 19:33:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:23.164232 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/rules\" range_end:\"/registry/config.istio.io/rulet\" count_only:true " with result "range_response_count:0 size:9" took too long (197.083007ms) to execute
Nov 01 19:33:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:23.164292 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (198.666256ms) to execute
Nov 01 19:33:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:23.164447 W | etcdserver: request "header:<ID:14919139277657577070 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-egressgateway\" mod_revision:35484433 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-egressgateway\" value_size:5825 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-egressgateway\" > >>" with result "size:20" took too long (148.040174ms) to execute
Nov 01 19:33:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:23.183686 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (182.807808ms) to execute
Nov 01 19:33:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:23.184008 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" " with result "range_response_count:1 size:784" took too long (183.696446ms) to execute
Nov 01 19:33:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:23.184538 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-init-crd-10-jnn5j\" " with result "range_response_count:1 size:1694" took too long (184.950068ms) to execute
Nov 01 19:33:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:23.426200 W | etcdserver: request "header:<ID:14919139277657577089 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" mod_revision:35484570 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" value_size:687 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" > >>" with result "size:20" took too long (158.059958ms) to execute
Nov 01 19:33:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:23.427216 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/edges\" range_end:\"/registry/config.istio.io/edget\" count_only:true " with result "range_response_count:0 size:7" took too long (127.403088ms) to execute
Nov 01 19:33:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:23.453809 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (152.971071ms) to execute
Nov 01 19:33:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:23.684200 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-pilot\" " with result "range_response_count:1 size:535" took too long (184.847169ms) to execute
Nov 01 19:33:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:23.684256 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" " with result "range_response_count:1 size:2549" took too long (185.617996ms) to execute
Nov 01 19:33:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:23.684520 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" " with result "range_response_count:1 size:771" took too long (186.936962ms) to execute
Nov 01 19:33:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:23.684555 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-security-post-install-1.1.5-x8mpb\" " with result "range_response_count:1 size:2127" took too long (184.245347ms) to execute
Nov 01 19:33:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:23.735399 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (114.135664ms) to execute
Nov 01 19:33:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:23.735660 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (221.284166ms) to execute
Nov 01 19:33:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:23.917700 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-policy\" " with result "range_response_count:1 size:926" took too long (171.809846ms) to execute
Nov 01 19:33:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:23.917743 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/coredns\" " with result "range_response_count:1 size:3542" took too long (174.72068ms) to execute
Nov 01 19:33:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:23.918181 W | etcdserver: request "header:<ID:14919139277657577113 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/istio-system/istio-telemetry\" mod_revision:35484422 > success:<request_put:<key:\"/registry/services/endpoints/istio-system/istio-telemetry\" value_size:459 >> failure:<request_range:<key:\"/registry/services/endpoints/istio-system/istio-telemetry\" > >>" with result "size:20" took too long (132.351661ms) to execute
Nov 01 19:33:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:24.179801 W | etcdserver: request "header:<ID:14919139277657577136 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/kube-system/kube-proxy-kqgh5\" mod_revision:35482158 > success:<request_put:<key:\"/registry/pods/kube-system/kube-proxy-kqgh5\" value_size:2219 >> failure:<request_range:<key:\"/registry/pods/kube-system/kube-proxy-kqgh5\" > >>" with result "size:20" took too long (152.281704ms) to execute
Nov 01 19:33:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:24.180144 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/daemon-set-controller-token-xnrf6\" " with result "range_response_count:1 size:2381" took too long (164.469283ms) to execute
