-- Logs begin at Sun 2019-12-15 09:07:23 UTC, end at Mon 2019-12-16 23:39:12 UTC. --
Dec 16 23:17:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:36.106601 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (332.382997ms) to execute
Dec 16 23:17:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:36.944561 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (361.795266ms) to execute
Dec 16 23:17:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:36.944623 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (741.587001ms) to execute
Dec 16 23:17:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:36.944901 W | etcdserver: read-only range request "key:\"/registry/cronjobs\" range_end:\"/registry/cronjobt\" count_only:true " with result "range_response_count:0 size:7" took too long (204.420981ms) to execute
Dec 16 23:17:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:36.944989 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.083273085s) to execute
Dec 16 23:17:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:37.452119 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (297.963699ms) to execute
Dec 16 23:17:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:37.452241 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:256" took too long (412.422082ms) to execute
Dec 16 23:17:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:37.452404 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (450.797317ms) to execute
Dec 16 23:17:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:39.887854 W | wal: sync duration of 2.087924413s, expected less than 1s
Dec 16 23:17:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:39.892189 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (1.067989333s) to execute
Dec 16 23:17:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:41.121353 W | wal: sync duration of 1.233062179s, expected less than 1s
Dec 16 23:17:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:41.125035 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (363.999656ms) to execute
