-- Logs begin at Sun 2019-11-03 23:04:18 UTC, end at Thu 2019-11-07 05:41:55 UTC. --
Nov 07 05:21:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:21:49.419251 W | etcdserver: request "header:<ID:14919139277662510981 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d4c9da4d20d0a5\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d4c9da4d20d0a5\" value_size:354 lease:5695767240807734887 >> failure:<>>" with result "size:20" took too long (121.738165ms) to execute
Nov 07 05:21:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:21:49.420685 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (121.843331ms) to execute
Nov 07 05:21:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:21:49.450295 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (151.021289ms) to execute
Nov 07 05:21:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:21:49.450519 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7gdkn\" " with result "range_response_count:1 size:1121" took too long (130.99563ms) to execute
Nov 07 05:22:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:22:25.671174 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (263.792651ms) to execute
Nov 07 05:22:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:22:25.684843 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (201.293444ms) to execute
Nov 07 05:22:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:22:50.822517 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (385.426382ms) to execute
Nov 07 05:22:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:22:50.826569 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (308.356129ms) to execute
Nov 07 05:22:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:22:50.826878 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (229.502108ms) to execute
Nov 07 05:23:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:23:13.413704 I | mvcc: store.index: compact 36718235
Nov 07 05:23:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:23:13.419016 I | mvcc: finished scheduled compaction at 36718235 (took 3.859829ms)
Nov 07 05:23:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:23:25.176983 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.monitoring.coreos.com\" " with result "range_response_count:1 size:659" took too long (127.010095ms) to execute
Nov 07 05:23:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:23:25.177087 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.events.k8s.io\" " with result "range_response_count:1 size:646" took too long (125.390024ms) to execute
Nov 07 05:23:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:23:25.177191 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.batch\" " with result "range_response_count:1 size:608" took too long (127.13703ms) to execute
Nov 07 05:23:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:23:25.177326 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.rbac.authorization.k8s.io\" " with result "range_response_count:1 size:668" took too long (126.419948ms) to execute
Nov 07 05:23:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:23:25.177374 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apps\" " with result "range_response_count:1 size:619" took too long (127.15737ms) to execute
Nov 07 05:23:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:23:36.104731 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (245.901332ms) to execute
Nov 07 05:23:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:23:36.106969 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (197.122469ms) to execute
Nov 07 05:23:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:23:49.621537 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-fv22d\" " with result "range_response_count:1 size:1121" took too long (147.602216ms) to execute
Nov 07 05:23:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:23:49.626023 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (150.568736ms) to execute
Nov 07 05:23:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:23:49.626161 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vcvzn\" " with result "range_response_count:1 size:1118" took too long (146.463006ms) to execute
Nov 07 05:23:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:23:49.626251 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rnbf6\" " with result "range_response_count:1 size:1121" took too long (146.582425ms) to execute
Nov 07 05:23:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:23:49.626363 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jt9sb\" " with result "range_response_count:1 size:1121" took too long (147.365295ms) to execute
Nov 07 05:23:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:23:49.626673 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d4c9e84f31aad7\" " with result "range_response_count:1 size:485" took too long (146.20582ms) to execute
Nov 07 05:23:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:23:49.827845 W | etcdserver: request "header:<ID:14919139277662512177 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-bvfg5\" mod_revision:36719120 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-bvfg5\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-bvfg5\" > >>" with result "size:20" took too long (100.02237ms) to execute
Nov 07 05:24:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:24:49.699704 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (137.612877ms) to execute
Nov 07 05:24:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:24:49.700199 W | etcdserver: request "header:<ID:14919139277662512762 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d4c9e84f31aad7\" mod_revision:36719327 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d4c9e84f31aad7\" value_size:386 lease:5695767240807736812 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d4c9e84f31aad7\" > >>" with result "size:20" took too long (137.475138ms) to execute
Nov 07 05:24:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:24:49.700757 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5vtlg\" " with result "range_response_count:1 size:1121" took too long (127.464101ms) to execute
Nov 07 05:28:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:28:13.428515 I | mvcc: store.index: compact 36719012
Nov 07 05:28:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:28:13.433699 I | mvcc: finished scheduled compaction at 36719012 (took 4.075777ms)
Nov 07 05:28:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:28:13.712670 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (108.804902ms) to execute
Nov 07 05:33:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:33:09.520062 W | wal: sync duration of 1.594863936s, expected less than 1s
