-- Logs begin at Wed 2019-10-30 17:55:18 UTC, end at Sat 2019-11-02 10:17:26 UTC. --
Nov 02 09:55:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:55:05.057573 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000257707d.snap successfully
Nov 02 09:55:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:55:22.046925 W | wal: sync duration of 1.175055425s, expected less than 1s
Nov 02 09:55:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:55:22.049967 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (954.626335ms) to execute
Nov 02 09:55:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:55:22.066434 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (829.707218ms) to execute
Nov 02 09:55:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:55:22.066659 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4030" took too long (285.025477ms) to execute
Nov 02 09:55:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:55:22.066846 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (453.99746ms) to execute
Nov 02 09:55:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:55:26.084774 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (120.305687ms) to execute
Nov 02 09:55:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:55:33.569071 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/solarwindses\" range_end:\"/registry/config.istio.io/solarwindset\" count_only:true " with result "range_response_count:0 size:7" took too long (571.031155ms) to execute
Nov 02 09:55:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:55:33.574777 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-certs\" " with result "range_response_count:1 size:493" took too long (259.010255ms) to execute
Nov 02 09:55:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:55:33.574852 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (195.396089ms) to execute
Nov 02 09:55:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:55:33.574925 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/sidecars\" range_end:\"/registry/networking.istio.io/sidecart\" count_only:true " with result "range_response_count:0 size:7" took too long (380.028116ms) to execute
