-- Logs begin at Fri 2020-01-31 10:16:36 UTC, end at Sat 2020-02-01 21:54:59 UTC. --
Feb 01 21:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:32:27.230613 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/destinationrules.networking.istio.io\" " with result "range_response_count:1 size:3559" took too long (160.197752ms) to execute
Feb 01 21:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:32:27.231062 W | etcdserver: request "header:<ID:14919139277751638797 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/gateways.networking.istio.io\" mod_revision:53278700 > success:<request_put:<key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/gateways.networking.istio.io\" value_size:2602 >> failure:<request_range:<key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/gateways.networking.istio.io\" > >>" with result "size:20" took too long (148.704228ms) to execute
Feb 01 21:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:32:27.245837 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/envoyfilters.networking.istio.io\" " with result "range_response_count:1 size:2433" took too long (172.191074ms) to execute
Feb 01 21:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:32:27.246486 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/serviceentries.networking.istio.io\" " with result "range_response_count:1 size:4188" took too long (175.860933ms) to execute
Feb 01 21:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:32:27.461164 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/clusterrbacconfigs/\" range_end:\"/registry/rbac.istio.io/clusterrbacconfigs0\" " with result "range_response_count:0 size:7" took too long (137.96737ms) to execute
Feb 01 21:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:32:27.461334 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/policies.authentication.istio.io\" " with result "range_response_count:1 size:2405" took too long (156.386109ms) to execute
Feb 01 21:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:32:27.461589 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/gateways.networking.istio.io\" " with result "range_response_count:1 size:2621" took too long (138.491912ms) to execute
Feb 01 21:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:32:27.461688 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/envoyfilters/\" range_end:\"/registry/networking.istio.io/envoyfilters0\" " with result "range_response_count:0 size:7" took too long (160.248192ms) to execute
Feb 01 21:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:32:27.699207 W | etcdserver: read-only range request "key:\"/registry/authentication.istio.io/policies/istio-system/\" range_end:\"/registry/authentication.istio.io/policies/istio-system0\" " with result "range_response_count:1 size:937" took too long (162.981327ms) to execute
Feb 01 21:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:32:27.699735 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/clusterrbacconfigs.rbac.istio.io\" " with result "range_response_count:1 size:2641" took too long (141.056041ms) to execute
Feb 01 21:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:32:27.699796 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/httpapispecbindings.config.istio.io\" " with result "range_response_count:1 size:2493" took too long (160.421654ms) to execute
Feb 01 21:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:32:27.699979 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/envoyfilters.networking.istio.io\" " with result "range_response_count:1 size:2613" took too long (141.638124ms) to execute
Feb 01 21:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:32:27.700120 W | etcdserver: read-only range request "key:\"/registry/authentication.istio.io/meshpolicies/\" range_end:\"/registry/authentication.istio.io/meshpolicies0\" " with result "range_response_count:1 size:807" took too long (142.057567ms) to execute
Feb 01 21:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:32:27.937098 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/httpapispecbindings.config.istio.io\" " with result "range_response_count:1 size:2673" took too long (167.649839ms) to execute
Feb 01 21:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:32:27.937387 W | etcdserver: request "header:<ID:14919139277751638855 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/quotaspecbindings.config.istio.io\" mod_revision:53272136 > success:<request_put:<key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/quotaspecbindings.config.istio.io\" value_size:2665 >> failure:<request_range:<key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/quotaspecbindings.config.istio.io\" > >>" with result "size:20" took too long (132.596899ms) to execute
Feb 01 21:32:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:32:27.956673 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/policies.authentication.istio.io\" " with result "range_response_count:1 size:2585" took too long (171.125048ms) to execute
