-- Logs begin at Fri 2019-11-01 06:45:16 UTC, end at Mon 2019-11-04 02:15:00 UTC. --
Nov 04 01:54:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:28.685380 W | etcdserver: request "header:<ID:14919139277659693955 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" mod_revision:35992047 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" value_size:807 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (119.236439ms) to execute
Nov 04 01:54:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:28.704505 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (138.600783ms) to execute
Nov 04 01:54:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:28.736214 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (123.596807ms) to execute
Nov 04 01:54:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:28.935110 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (190.343195ms) to execute
Nov 04 01:54:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:28.935297 W | etcdserver: request "header:<ID:14919139277659693973 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-rhh25.15d3d2cc0ee442b5\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-rhh25.15d3d2cc0ee442b5\" value_size:444 lease:5695767240804918130 >> failure:<>>" with result "size:20" took too long (144.890777ms) to execute
Nov 04 01:54:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:28.950773 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (174.509146ms) to execute
Nov 04 01:54:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:28.951069 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-65nwt\" " with result "range_response_count:1 size:2314" took too long (129.126001ms) to execute
Nov 04 01:54:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:28.951119 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (174.686013ms) to execute
Nov 04 01:54:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:28.951408 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (176.756268ms) to execute
Nov 04 01:54:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:32.355626 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d3d2a691093204\" " with result "range_response_count:1 size:485" took too long (129.901766ms) to execute
Nov 04 01:54:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:32.601123 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (163.17629ms) to execute
Nov 04 01:54:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:32.601236 W | etcdserver: request "header:<ID:14919139277659694052 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d3d2a691093204\" mod_revision:35992873 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d3d2a691093204\" value_size:386 lease:5695767240804918130 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d3d2a691093204\" > >>" with result "size:20" took too long (144.968002ms) to execute
Nov 04 01:54:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:32.601513 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jcpmb\" " with result "range_response_count:1 size:2946" took too long (154.505619ms) to execute
Nov 04 01:54:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:32.616416 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pm5zk\" " with result "range_response_count:1 size:2946" took too long (153.509477ms) to execute
Nov 04 01:54:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:32.620229 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-v28lt\" " with result "range_response_count:1 size:2946" took too long (119.287593ms) to execute
Nov 04 01:54:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:32.620541 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9kcvp\" " with result "range_response_count:1 size:2946" took too long (113.574187ms) to execute
Nov 04 01:54:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:32.832152 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (139.663006ms) to execute
Nov 04 01:54:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:32.835595 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wvjhc\" " with result "range_response_count:1 size:2946" took too long (109.476481ms) to execute
Nov 04 01:54:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:35.055346 W | etcdserver: request "header:<ID:14919139277659694146 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-rhh25\" mod_revision:35992867 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-rhh25\" value_size:3022 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-rhh25\" > >>" with result "size:20" took too long (128.974943ms) to execute
Nov 04 01:54:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:43.677816 W | etcdserver: read-only range request "key:\"/registry/ranges/serviceips\" " with result "range_response_count:1 size:2149" took too long (100.106936ms) to execute
Nov 04 01:54:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:43.678165 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:348" took too long (102.030258ms) to execute
Nov 04 01:54:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:43.866096 W | etcdserver: read-only range request "key:\"/registry/masterleases/10.0.0.8\" " with result "range_response_count:1 size:133" took too long (132.096776ms) to execute
Nov 04 01:54:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:43.866327 W | etcdserver: request "header:<ID:14919139277659694332 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-td7nv\" mod_revision:35993037 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-td7nv\" value_size:2981 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-td7nv\" > >>" with result "size:20" took too long (128.686166ms) to execute
Nov 04 01:54:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:43.881197 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:348" took too long (142.153869ms) to execute
Nov 04 01:54:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:43.885088 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/serviceentries\" range_end:\"/registry/networking.istio.io/serviceentriet\" count_only:true " with result "range_response_count:0 size:7" took too long (112.566913ms) to execute
Nov 04 01:54:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:54:43.885809 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (109.519027ms) to execute
Nov 04 01:57:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:57:30.774733 I | mvcc: store.index: compact 35992591
Nov 04 01:57:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:57:30.787999 I | mvcc: finished scheduled compaction at 35992591 (took 10.863553ms)
Nov 04 01:57:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:57:32.552944 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/listcheckers\" range_end:\"/registry/config.istio.io/listcheckert\" count_only:true " with result "range_response_count:0 size:7" took too long (1.172335364s) to execute
Nov 04 01:57:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:57:32.553334 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dc956\" " with result "range_response_count:1 size:4261" took too long (309.541638ms) to execute
Nov 04 01:57:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:57:32.553563 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (582.310652ms) to execute
Nov 04 01:57:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:57:32.553847 W | etcdserver: read-only range request "key:\"/registry/certificatesigningrequests\" range_end:\"/registry/certificatesigningrequestt\" count_only:true " with result "range_response_count:0 size:7" took too long (391.70437ms) to execute
Nov 04 01:57:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:57:32.554136 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.034172535s) to execute
Nov 04 01:57:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:57:32.554377 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6163" took too long (210.970299ms) to execute
Nov 04 01:57:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:57:32.554557 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (268.907491ms) to execute
Nov 04 01:58:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:58:43.070476 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/checknothings\" range_end:\"/registry/config.istio.io/checknothingt\" count_only:true " with result "range_response_count:0 size:7" took too long (102.267145ms) to execute
Nov 04 01:58:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:58:43.070806 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (100.930595ms) to execute
Nov 04 01:59:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:59:17.782878 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-egressgateway-certs\" " with result "range_response_count:0 size:7" took too long (549.315327ms) to execute
Nov 04 01:59:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:59:17.789316 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6163" took too long (446.776303ms) to execute
Nov 04 01:59:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 01:59:17.790049 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (120.610408ms) to execute
Nov 04 02:02:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:02:30.788229 I | mvcc: store.index: compact 35993379
Nov 04 02:02:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:02:30.796253 I | mvcc: finished scheduled compaction at 35993379 (took 5.848395ms)
Nov 04 02:07:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:07:30.803556 I | mvcc: store.index: compact 35993962
Nov 04 02:07:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:07:30.810892 I | mvcc: finished scheduled compaction at 35993962 (took 4.830247ms)
Nov 04 02:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:12:30.891754 I | mvcc: store.index: compact 35994505
Nov 04 02:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 02:12:30.900168 I | mvcc: finished scheduled compaction at 35994505 (took 6.714525ms)
