-- Logs begin at Fri 2019-10-25 18:53:13 UTC, end at Thu 2019-10-31 19:50:31 UTC. --
Oct 31 19:29:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:29:13.328919 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (721.499639ms) to execute
Oct 31 19:29:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:29:13.329322 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (676.570413ms) to execute
Oct 31 19:29:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:29:13.329541 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (545.630583ms) to execute
Oct 31 19:31:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:31:17.825953 I | mvcc: store.index: compact 35239047
Oct 31 19:31:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:31:17.830649 I | mvcc: finished scheduled compaction at 35239047 (took 3.694705ms)
Oct 31 19:31:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:31:35.084715 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d2d1f4f1df34bb\" " with result "range_response_count:1 size:485" took too long (178.070655ms) to execute
Oct 31 19:31:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:31:35.084782 W | etcdserver: request "header:<ID:14919139277656645203 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-bhn9h.15d2d22955989e57\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-bhn9h.15d2d22955989e57\" value_size:392 lease:5695767240801869346 >> failure:<>>" with result "size:20" took too long (140.729254ms) to execute
Oct 31 19:31:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:31:35.319410 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d2d1f4f1df34bb\" " with result "range_response_count:1 size:485" took too long (133.519279ms) to execute
Oct 31 19:31:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:31:37.702923 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9glc7\" " with result "range_response_count:1 size:1498" took too long (138.998263ms) to execute
Oct 31 19:31:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:31:37.707174 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (138.531916ms) to execute
Oct 31 19:35:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:35:33.501788 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (309.401882ms) to execute
Oct 31 19:35:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:35:33.502144 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (122.336981ms) to execute
Oct 31 19:35:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:35:33.502208 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (432.168901ms) to execute
