-- Logs begin at Tue 2019-11-05 22:19:11 UTC, end at Fri 2019-11-08 19:30:30 UTC. --
Nov 08 19:08:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:08:57.020700 I | etcdserver: start to snapshot (applied: 40925038, lastsnap: 40915037)
Nov 08 19:08:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:08:57.089805 I | etcdserver: saved snapshot at index 40925038
Nov 08 19:08:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:08:57.090293 I | etcdserver: compacted raft log at 40920038
Nov 08 19:09:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:09:06.530188 I | mvcc: store.index: compact 37096583
Nov 08 19:09:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:09:06.538257 I | mvcc: finished scheduled compaction at 37096583 (took 5.935054ms)
Nov 08 19:09:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:09:13.409492 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-00000000026fb419.snap successfully
Nov 08 19:09:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:09:20.621755 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (137.125563ms) to execute
Nov 08 19:09:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:09:20.621833 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.212180046s) to execute
Nov 08 19:09:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:09:20.621941 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (705.400687ms) to execute
Nov 08 19:09:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:09:20.622249 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/serviceroles\" range_end:\"/registry/rbac.istio.io/servicerolet\" count_only:true " with result "range_response_count:0 size:7" took too long (264.020036ms) to execute
Nov 08 19:09:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:09:20.622265 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-zrv4w\" " with result "range_response_count:1 size:2314" took too long (1.091194383s) to execute
Nov 08 19:09:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:09:20.622657 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-zrv4w\" " with result "range_response_count:1 size:2314" took too long (161.261742ms) to execute
Nov 08 19:09:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:09:20.622839 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheusrules\" range_end:\"/registry/monitoring.coreos.com/prometheusrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (918.7684ms) to execute
Nov 08 19:09:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:09:20.622906 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-zrv4w\" " with result "range_response_count:1 size:2314" took too long (722.849422ms) to execute
Nov 08 19:09:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:09:20.623041 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kuberneteses\" range_end:\"/registry/config.istio.io/kuberneteset\" count_only:true " with result "range_response_count:0 size:9" took too long (806.835245ms) to execute
Nov 08 19:09:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:09:20.623419 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (535.728331ms) to execute
Nov 08 19:10:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:10:05.987497 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (143.286103ms) to execute
Nov 08 19:10:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:10:05.987593 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (146.293835ms) to execute
Nov 08 19:10:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:10:05.987652 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-bq4jt\" " with result "range_response_count:1 size:3127" took too long (137.53428ms) to execute
Nov 08 19:10:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:10:05.987834 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (146.444805ms) to execute
Nov 08 19:11:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 19:11:15.137894 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/default/\" range_end:\"/registry/resourcequotas/default0\" " with result "range_response_count:0 size:7" took too long (140.267124ms) to execute
