-- Logs begin at Sun 2019-11-03 00:17:30 UTC, end at Wed 2019-11-06 13:55:39 UTC. --
Nov 06 13:37:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:37:00.573121 I | etcdserver: start to snapshot (applied: 40344976, lastsnap: 40334975)
Nov 06 13:37:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:37:00.645184 I | etcdserver: saved snapshot at index 40344976
Nov 06 13:37:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:37:00.645676 I | etcdserver: compacted raft log at 40339976
Nov 06 13:37:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:37:10.267398 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000266da3a.snap successfully
Nov 06 13:37:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:37:36.999102 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (273.359546ms) to execute
Nov 06 13:37:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:37:36.999267 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (273.529538ms) to execute
Nov 06 13:38:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:38:05.878115 I | mvcc: store.index: compact 36560156
Nov 06 13:38:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:38:05.885578 I | mvcc: finished scheduled compaction at 36560156 (took 5.898206ms)
Nov 06 13:38:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:38:12.450454 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (142.803557ms) to execute
Nov 06 13:38:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:38:12.451037 W | etcdserver: request "header:<ID:14919139277661890826 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-gcmc4.15d4965c21d1a962\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-gcmc4.15d4965c21d1a962\" value_size:392 lease:5695767240807115001 >> failure:<>>" with result "size:20" took too long (118.271683ms) to execute
Nov 06 13:38:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:38:12.451158 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (139.379588ms) to execute
Nov 06 13:38:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:38:12.451215 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4168" took too long (139.806548ms) to execute
Nov 06 13:38:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:38:12.451249 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gcmc4\" " with result "range_response_count:1 size:2946" took too long (116.395171ms) to execute
Nov 06 13:38:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:38:12.451322 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (140.886954ms) to execute
Nov 06 13:38:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:38:46.886900 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (114.060269ms) to execute
Nov 06 13:41:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:41:16.299031 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (447.979038ms) to execute
Nov 06 13:41:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:41:16.299213 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/serviceentries\" range_end:\"/registry/networking.istio.io/serviceentriet\" count_only:true " with result "range_response_count:0 size:7" took too long (170.598328ms) to execute
Nov 06 13:41:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:41:16.299547 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (447.989201ms) to execute
Nov 06 13:42:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:42:37.434448 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (101.85791ms) to execute
Nov 06 13:43:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:43:05.892742 I | mvcc: store.index: compact 36560934
Nov 06 13:43:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:43:05.899404 I | mvcc: finished scheduled compaction at 36560934 (took 4.624516ms)
Nov 06 13:43:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:43:24.681274 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:31144" took too long (332.333089ms) to execute
Nov 06 13:43:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:43:24.682077 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha2.config.istio.io\" " with result "range_response_count:1 size:659" took too long (389.339082ms) to execute
Nov 06 13:43:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:43:24.682328 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apps\" " with result "range_response_count:1 size:619" took too long (389.33915ms) to execute
Nov 06 13:43:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:43:24.682418 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.events.k8s.io\" " with result "range_response_count:1 size:646" took too long (388.799212ms) to execute
Nov 06 13:43:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:43:24.682791 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.certificates.k8s.io\" " with result "range_response_count:1 size:664" took too long (390.112501ms) to execute
Nov 06 13:44:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:44:28.432083 W | etcdserver: request "header:<ID:14919139277661895143 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-mjt8h\" mod_revision:36561776 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-mjt8h\" value_size:4185 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-mjt8h\" > >>" with result "size:20" took too long (249.481447ms) to execute
Nov 06 13:46:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:46:21.590961 N | compactor: Starting auto-compaction at revision 36484116
Nov 06 13:46:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:46:21.591476 N | compactor: Finished auto-compaction at revision 36484116
Nov 06 13:47:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:47:57.351904 W | etcdserver: read-only range request "key:\"/registry/cronjobs\" range_end:\"/registry/cronjobt\" count_only:true " with result "range_response_count:0 size:7" took too long (755.805109ms) to execute
Nov 06 13:47:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:47:57.352331 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (486.274022ms) to execute
Nov 06 13:47:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:47:57.352653 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (453.276141ms) to execute
Nov 06 13:47:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:47:57.353015 W | etcdserver: request "header:<ID:14919139277661897369 > lease_revoke:<id:4f0b6e20c79d81f5>" with result "size:29" took too long (329.060575ms) to execute
Nov 06 13:47:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:47:57.353225 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (176.563702ms) to execute
Nov 06 13:47:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:47:57.353355 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (298.707691ms) to execute
Nov 06 13:47:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:47:57.353541 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (109.303122ms) to execute
Nov 06 13:48:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:48:05.918052 I | mvcc: store.index: compact 36561745
Nov 06 13:48:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:48:05.925404 I | mvcc: finished scheduled compaction at 36561745 (took 5.981468ms)
Nov 06 13:49:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:49:03.519966 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (139.02412ms) to execute
Nov 06 13:49:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:49:03.520223 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (168.865481ms) to execute
Nov 06 13:51:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:51:18.464375 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (154.347344ms) to execute
Nov 06 13:52:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:52:29.312267 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1911" took too long (219.773521ms) to execute
Nov 06 13:53:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:53:05.930944 I | mvcc: store.index: compact 36562407
Nov 06 13:53:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:53:05.939235 I | mvcc: finished scheduled compaction at 36562407 (took 6.414956ms)
Nov 06 13:53:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:53:06.478766 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6487" took too long (472.637574ms) to execute
Nov 06 13:53:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:53:06.479197 W | etcdserver: request "header:<ID:14919139277661900574 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:36562966 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (373.058506ms) to execute
Nov 06 13:53:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 13:53:06.505105 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/redisquotas\" range_end:\"/registry/config.istio.io/redisquotat\" count_only:true " with result "range_response_count:0 size:7" took too long (113.532599ms) to execute
