-- Logs begin at Wed 2019-12-18 10:00:07 UTC, end at Thu 2019-12-19 18:51:06 UTC. --
Dec 19 18:29:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:29:49.736482 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheusrules\" range_end:\"/registry/monitoring.coreos.com/prometheusrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (373.944962ms) to execute
Dec 19 18:29:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:29:49.736816 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (195.552758ms) to execute
Dec 19 18:29:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:29:49.736870 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4296" took too long (544.109459ms) to execute
Dec 19 18:30:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:30:18.280137 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/noops\" range_end:\"/registry/config.istio.io/noopt\" count_only:true " with result "range_response_count:0 size:7" took too long (175.24753ms) to execute
Dec 19 18:30:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:30:44.509573 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (780.580554ms) to execute
Dec 19 18:30:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:30:44.509622 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (116.956251ms) to execute
Dec 19 18:30:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:30:44.510072 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (234.672298ms) to execute
Dec 19 18:30:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:30:44.510160 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (781.138441ms) to execute
Dec 19 18:30:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:30:50.101356 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rm729\" " with result "range_response_count:1 size:4261" took too long (120.832043ms) to execute
Dec 19 18:30:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:30:56.922092 I | mvcc: store.index: compact 45097637
Dec 19 18:30:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:30:56.929001 I | mvcc: finished scheduled compaction at 45097637 (took 5.339988ms)
Dec 19 18:31:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:31:20.975028 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (469.27372ms) to execute
Dec 19 18:31:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:31:21.011234 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (107.944475ms) to execute
Dec 19 18:31:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:31:30.645199 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1910" took too long (124.388186ms) to execute
Dec 19 18:31:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:31:31.591057 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (538.686015ms) to execute
Dec 19 18:31:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:31:31.591467 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:28556" took too long (515.833804ms) to execute
Dec 19 18:31:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:31:31.591785 W | etcdserver: failed to revoke 4f0b6e20ca58e209 ("lease not found")
Dec 19 18:31:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:31:31.591846 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (257.527524ms) to execute
Dec 19 18:31:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:31:44.172439 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (220.910954ms) to execute
Dec 19 18:31:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:31:50.214779 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:4620" took too long (521.335041ms) to execute
Dec 19 18:31:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:31:50.214905 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (209.591003ms) to execute
Dec 19 18:31:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:31:56.154146 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (445.3283ms) to execute
Dec 19 18:31:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:31:56.154535 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (440.95164ms) to execute
Dec 19 18:31:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:31:56.155143 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6260" took too long (103.612592ms) to execute
Dec 19 18:31:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:31:56.155421 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (214.6877ms) to execute
Dec 19 18:32:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:32:03.019828 I | wal: segmented wal file /var/lib/etcd/member/wal/000000000000063a-0000000002f6867f.wal is created
Dec 19 18:32:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:32:03.020138 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (198.708255ms) to execute
Dec 19 18:32:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:32:03.021008 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (199.646779ms) to execute
Dec 19 18:32:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:32:15.213151 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000635-0000000002f3ecc9.wal successfully
Dec 19 18:33:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:33:14.052065 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (214.350211ms) to execute
Dec 19 18:33:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:33:14.052108 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (210.917918ms) to execute
Dec 19 18:34:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:34:24.219119 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-cpk55\" " with result "range_response_count:1 size:3008" took too long (109.801775ms) to execute
Dec 19 18:35:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:35:11.558476 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-kwwwq.15e1d96bf39a75bb\" " with result "range_response_count:1 size:468" took too long (117.146117ms) to execute
Dec 19 18:35:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:35:56.935538 I | mvcc: store.index: compact 45098561
Dec 19 18:35:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:35:56.942706 I | mvcc: finished scheduled compaction at 45098561 (took 5.770016ms)
Dec 19 18:36:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:36:21.810531 W | etcdserver: request "header:<ID:14919139277707734992 > lease_revoke:<id:4f0b6e20ca58ef1e>" with result "size:29" took too long (102.079415ms) to execute
Dec 19 18:40:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:40:56.977758 I | mvcc: store.index: compact 45099336
Dec 19 18:40:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:40:56.985546 I | mvcc: finished scheduled compaction at 45099336 (took 6.016196ms)
Dec 19 18:40:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:40:57.239037 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (150.019887ms) to execute
Dec 19 18:45:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:45:56.991286 I | mvcc: store.index: compact 45099997
Dec 19 18:45:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:45:56.998732 I | mvcc: finished scheduled compaction at 45099997 (took 5.893197ms)
