-- Logs begin at Sun 2019-12-15 14:07:49 UTC, end at Tue 2019-12-17 04:35:18 UTC. --
Dec 17 04:13:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:13:10.061362 N | compactor: Starting auto-compaction at revision 44388966
Dec 17 04:13:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:13:10.067593 N | compactor: Finished auto-compaction at revision 44388966
Dec 17 04:13:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:13:54.518163 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (242.570566ms) to execute
Dec 17 04:13:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:13:54.518202 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (147.095551ms) to execute
Dec 17 04:14:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:14:03.138773 W | wal: sync duration of 1.081258458s, expected less than 1s
Dec 17 04:14:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:14:03.145575 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:4620" took too long (584.988875ms) to execute
Dec 17 04:14:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:14:03.145630 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (441.868325ms) to execute
Dec 17 04:14:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:14:03.145703 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (542.60287ms) to execute
Dec 17 04:14:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:14:03.145753 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (316.886678ms) to execute
Dec 17 04:14:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:14:03.145927 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (587.580199ms) to execute
Dec 17 04:14:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:14:23.667722 I | mvcc: store.index: compact 44464620
Dec 17 04:14:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:14:23.678598 I | mvcc: finished scheduled compaction at 44464620 (took 8.465426ms)
Dec 17 04:14:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:14:42.125717 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (176.210277ms) to execute
Dec 17 04:14:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:14:42.140224 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-xfgxx\" " with result "range_response_count:1 size:2738" took too long (121.767252ms) to execute
Dec 17 04:15:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:15:40.900965 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (552.741454ms) to execute
Dec 17 04:15:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:15:40.901146 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (512.229408ms) to execute
Dec 17 04:15:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:15:40.901420 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (552.754982ms) to execute
Dec 17 04:15:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:15:42.266985 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (144.445657ms) to execute
Dec 17 04:16:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:16:10.189884 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (214.229275ms) to execute
Dec 17 04:16:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:16:10.190032 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (214.268438ms) to execute
Dec 17 04:16:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:16:16.171216 W | etcdserver: read-only range request "key:\"/registry/podtemplates\" range_end:\"/registry/podtemplatet\" count_only:true " with result "range_response_count:0 size:7" took too long (296.095968ms) to execute
Dec 17 04:17:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:17:04.812708 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (110.295634ms) to execute
Dec 17 04:17:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:17:26.422187 W | etcdserver: request "header:<ID:14919139277705240228 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend.15e10d8d864c93cd\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend.15e10d8d864c93cd\" value_size:341 lease:5695767240850463884 >> failure:<>>" with result "size:20" took too long (363.620446ms) to execute
Dec 17 04:17:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:17:26.422666 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (334.837819ms) to execute
Dec 17 04:17:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 04:17:26.422710 W | etcdserver: read-only range request "key:\"/registry/limitranges/default/\" range_end:\"/registry/limitranges/default0\" " with result "range_response_count:0 size:7" took too long (368.344151ms) to execute
