-- Logs begin at Tue 2019-12-17 08:44:24 UTC, end at Thu 2019-12-19 00:12:18 UTC. --
Dec 18 23:49:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:33.333063 W | wal: sync duration of 1.120917639s, expected less than 1s
Dec 18 23:49:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:33.336649 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (134.330419ms) to execute
Dec 18 23:49:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:33.336908 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (391.4875ms) to execute
Dec 18 23:49:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:34.400254 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (996.812446ms) to execute
Dec 18 23:49:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:34.497663 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (317.773638ms) to execute
Dec 18 23:49:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:34.497940 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (281.804242ms) to execute
Dec 18 23:49:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:34.498323 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (223.206114ms) to execute
Dec 18 23:49:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:34.710872 W | etcdserver: request "header:<ID:14919139277706994116 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:44913084 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:373 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:20" took too long (207.734106ms) to execute
Dec 18 23:49:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:34.711232 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (207.781893ms) to execute
Dec 18 23:49:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:37.581906 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (227.613602ms) to execute
Dec 18 23:49:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:38.867308 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (132.764403ms) to execute
Dec 18 23:49:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:40.058846 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (263.564361ms) to execute
Dec 18 23:49:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:40.059053 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (368.589041ms) to execute
Dec 18 23:49:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:48.349705 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (693.673895ms) to execute
Dec 18 23:49:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:49.312002 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (775.968037ms) to execute
Dec 18 23:49:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:49.316545 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (388.020589ms) to execute
Dec 18 23:49:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:54.999278 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (605.598028ms) to execute
Dec 18 23:49:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:55.003694 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (474.734286ms) to execute
Dec 18 23:49:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:55.004150 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (118.914391ms) to execute
Dec 18 23:49:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:49:55.004636 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:28155" took too long (446.034901ms) to execute
Dec 18 23:50:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:50:00.643671 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (161.492878ms) to execute
Dec 18 23:50:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:50:03.513657 W | wal: sync duration of 2.338665262s, expected less than 1s
Dec 18 23:50:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:50:03.514009 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (2.13363953s) to execute
Dec 18 23:50:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:50:03.523632 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.105000397s) to execute
Dec 18 23:50:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:50:03.524019 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (100.921321ms) to execute
Dec 18 23:50:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:50:03.524244 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (524.184111ms) to execute
Dec 18 23:50:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:50:05.471863 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (449.95498ms) to execute
Dec 18 23:50:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:50:05.769783 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (238.614104ms) to execute
Dec 18 23:50:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:50:05.769997 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/generic-garbage-collector\" " with result "range_response_count:1 size:274" took too long (288.104037ms) to execute
Dec 18 23:50:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:50:05.770254 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (233.989935ms) to execute
Dec 18 23:50:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:50:08.071545 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (259.835078ms) to execute
Dec 18 23:50:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:50:08.071668 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (289.899591ms) to execute
Dec 18 23:50:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:50:08.071722 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (290.260621ms) to execute
Dec 18 23:50:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:50:11.731360 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (190.100798ms) to execute
Dec 18 23:50:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:50:18.248751 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (123.480566ms) to execute
Dec 18 23:50:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:50:19.003709 W | etcdserver: read-only range request "key:\"/registry/events/default/backend.15e19c187492126c\" " with result "range_response_count:1 size:498" took too long (446.779096ms) to execute
Dec 18 23:50:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 23:50:21.199391 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (896.905904ms) to execute
