-- Logs begin at Thu 2019-10-24 21:08:27 UTC, end at Thu 2019-10-31 08:40:09 UTC. --
Oct 31 08:21:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 08:21:04.353266 I | mvcc: store.index: compact 35130008
Oct 31 08:21:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 08:21:04.363865 I | mvcc: finished scheduled compaction at 35130008 (took 7.33603ms)
Oct 31 08:23:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 08:23:18.745822 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (143.271599ms) to execute
Oct 31 08:23:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 08:23:36.354453 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (133.240556ms) to execute
Oct 31 08:26:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 08:26:04.368262 I | mvcc: store.index: compact 35131672
Oct 31 08:26:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 08:26:04.379822 I | mvcc: finished scheduled compaction at 35131672 (took 9.347475ms)
Oct 31 08:26:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 08:26:04.880515 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:4 size:7285" took too long (301.609299ms) to execute
Oct 31 08:26:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 08:26:04.880897 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (337.792319ms) to execute
Oct 31 08:30:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 08:30:36.741342 W | etcdserver: request "header:<ID:14919139277656243434 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:35133139 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (111.947655ms) to execute
Oct 31 08:30:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 08:30:36.760433 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wg5v5\" " with result "range_response_count:1 size:1118" took too long (130.360908ms) to execute
Oct 31 08:30:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 08:30:36.763816 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lf5sj\" " with result "range_response_count:1 size:1121" took too long (128.190264ms) to execute
Oct 31 08:31:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 08:31:04.386662 I | mvcc: store.index: compact 35132409
Oct 31 08:31:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 08:31:04.394915 I | mvcc: finished scheduled compaction at 35132409 (took 6.82707ms)
Oct 31 08:31:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 08:31:20.387327 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (530.725776ms) to execute
Oct 31 08:36:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 08:36:04.399577 I | mvcc: store.index: compact 35133227
Oct 31 08:36:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 08:36:04.405497 I | mvcc: finished scheduled compaction at 35133227 (took 4.918706ms)
Oct 31 08:36:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 08:36:04.584100 W | etcdserver: request "header:<ID:14919139277656246490 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" mod_revision:35134045 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" value_size:383 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" > >>" with result "size:20" took too long (170.724383ms) to execute
