-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Thu 2019-10-10 08:04:45 UTC. --
Oct 10 07:43:20 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:43:20.308288 W | wal: sync duration of 1.006652886s, expected less than 1s
Oct 10 07:43:20 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:43:20.309968 W | etcdserver: failed to revoke 4f0b6da58ebb5ce5 ("lease not found")
Oct 10 07:43:20 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:43:20.310875 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1121" took too long (489.768202ms) to execute
Oct 10 07:43:30 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:43:30.730356 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (357.480257ms) to execute
Oct 10 07:43:31 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:43:31.273738 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (436.750772ms) to execute
Oct 10 07:43:31 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:43:31.273972 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (289.661661ms) to execute
Oct 10 07:43:43 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:43:43.690527 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (346.15998ms) to execute
Oct 10 07:43:43 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:43:43.699306 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (329.803708ms) to execute
Oct 10 07:43:50 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:43:50.011764 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (275.796935ms) to execute
Oct 10 07:43:50 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:43:50.012056 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (603.769831ms) to execute
Oct 10 07:43:50 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:43:50.012204 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (275.808348ms) to execute
Oct 10 07:44:43 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:44:43.540414 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7g56f\" " with result "range_response_count:1 size:1619" took too long (196.763366ms) to execute
Oct 10 07:44:43 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:44:43.540539 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-7g56f.15cc396209f297a6\" " with result "range_response_count:1 size:588" took too long (196.940212ms) to execute
Oct 10 07:44:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:44:44.747469 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (487.284137ms) to execute
Oct 10 07:44:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:44:44.747508 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (415.279127ms) to execute
Oct 10 07:44:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:44:44.747713 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (268.196269ms) to execute
Oct 10 07:45:13 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:45:13.601943 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (336.284788ms) to execute
Oct 10 07:45:13 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:45:13.606972 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (207.901709ms) to execute
Oct 10 07:45:13 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:45:13.607285 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (190.202382ms) to execute
Oct 10 07:45:37 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:45:37.698165 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-2v25t.15cc394970c3a262\" " with result "range_response_count:1 size:550" took too long (239.821282ms) to execute
Oct 10 07:45:43 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:45:43.949842 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (336.99403ms) to execute
Oct 10 07:45:43 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:45:43.956360 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (343.536742ms) to execute
