-- Logs begin at Wed 2020-01-29 20:49:21 UTC, end at Fri 2020-01-31 18:15:55 UTC. --
Jan 31 17:52:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:52:57.415383 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000737-000000000378eff8.wal successfully
Jan 31 17:53:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:53:01.941475 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (121.399922ms) to execute
Jan 31 17:53:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:53:01.942511 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:127" took too long (120.70639ms) to execute
Jan 31 17:53:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:53:17.465950 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5tx6v\" " with result "range_response_count:1 size:1121" took too long (162.368134ms) to execute
Jan 31 17:53:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:53:17.467958 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (145.094682ms) to execute
Jan 31 17:53:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:53:17.467991 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (140.998971ms) to execute
Jan 31 17:53:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:53:17.468217 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (142.035176ms) to execute
Jan 31 17:53:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:53:17.468247 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-r5ll7\" " with result "range_response_count:1 size:1121" took too long (135.527646ms) to execute
Jan 31 17:53:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:53:17.468283 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (143.771597ms) to execute
Jan 31 17:53:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:53:17.468413 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (143.584715ms) to execute
Jan 31 17:53:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:53:17.468539 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wjx4m\" " with result "range_response_count:1 size:1118" took too long (134.831694ms) to execute
