-- Logs begin at Thu 2019-12-19 12:32:44 UTC, end at Sat 2019-12-21 01:27:52 UTC. --
Dec 21 01:05:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:05:38.111259 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (441.656424ms) to execute
Dec 21 01:05:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:05:38.111601 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (284.116739ms) to execute
Dec 21 01:05:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:05:38.111845 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (965.508359ms) to execute
Dec 21 01:06:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:06:21.989682 I | mvcc: store.index: compact 45421604
Dec 21 01:06:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:06:22.001487 I | mvcc: finished scheduled compaction at 45421604 (took 6.04547ms)
Dec 21 01:06:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:06:22.236688 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (181.392774ms) to execute
Dec 21 01:06:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:06:22.236885 W | etcdserver: request "header:<ID:14919139277708998782 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:45423373 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (124.312781ms) to execute
Dec 21 01:10:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:10:04.461040 W | etcdserver: request "header:<ID:14919139277709000867 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:45423989 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (125.963357ms) to execute
Dec 21 01:10:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:10:04.461854 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qq2hx\" " with result "range_response_count:1 size:1121" took too long (122.083944ms) to execute
Dec 21 01:11:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:11:22.006322 I | mvcc: store.index: compact 45423392
Dec 21 01:11:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:11:22.023092 I | mvcc: finished scheduled compaction at 45423392 (took 13.67086ms)
Dec 21 01:11:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:11:22.613163 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (397.241528ms) to execute
Dec 21 01:11:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:11:22.613348 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (161.924604ms) to execute
