-- Logs begin at Fri 2019-12-20 13:04:45 UTC, end at Sat 2019-12-21 21:42:25 UTC. --
Dec 21 21:20:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:20:04.066864 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5.15e27e1a950da98d\" " with result "range_response_count:1 size:520" took too long (111.503882ms) to execute
Dec 21 21:20:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:20:04.270032 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-ingressgateway.15e27aaadb36328d\" " with result "range_response_count:1 size:596" took too long (102.220341ms) to execute
Dec 21 21:20:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:20:04.674101 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-pilot-759bbfd844-gw9rn.15e27ca211ad065c\" " with result "range_response_count:1 size:549" took too long (134.17031ms) to execute
Dec 21 21:20:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:20:04.887783 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-pilot-759bbfd844-gw9rn.15e27d6436da2189\" " with result "range_response_count:1 size:543" took too long (119.64714ms) to execute
Dec 21 21:20:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:20:05.099418 W | etcdserver: request "header:<ID:14919139277709791118 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-pilot.15e27d684207c5af\" mod_revision:45625247 > success:<request_delete_range:<key:\"/registry/events/istio-system/istio-pilot.15e27d684207c5af\" > > failure:<request_range:<key:\"/registry/events/istio-system/istio-pilot.15e27d684207c5af\" > >>" with result "size:22" took too long (111.18961ms) to execute
Dec 21 21:20:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:20:05.839997 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-telemetry-57658695c8-p5sb6.15e27e8a4ea7a451\" " with result "range_response_count:1 size:543" took too long (101.585306ms) to execute
Dec 21 21:20:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:20:06.994912 W | etcdserver: request "header:<ID:14919139277709791598 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/prometheus-848f5f9cc8-rjpct.15e27aa9d9cf7681\" mod_revision:45621995 > success:<request_delete_range:<key:\"/registry/events/istio-system/prometheus-848f5f9cc8-rjpct.15e27aa9d9cf7681\" > > failure:<request_range:<key:\"/registry/events/istio-system/prometheus-848f5f9cc8-rjpct.15e27aa9d9cf7681\" > >>" with result "size:22" took too long (103.939066ms) to execute
Dec 21 21:20:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:20:38.324012 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (255.378747ms) to execute
Dec 21 21:20:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:20:45.875022 W | wal: sync duration of 1.08901818s, expected less than 1s
Dec 21 21:20:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:20:45.875399 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (781.251706ms) to execute
Dec 21 21:20:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:20:45.875851 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (687.18022ms) to execute
Dec 21 21:21:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:21:14.406097 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (130.451853ms) to execute
Dec 21 21:21:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:21:37.890551 I | mvcc: store.index: compact 45631557
