-- Logs begin at Sat 2019-11-09 17:59:19 UTC, end at Tue 2019-11-12 00:05:35 UTC. --
Nov 11 23:44:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:44:16.229231 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (241.125247ms) to execute
Nov 11 23:44:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:44:16.229485 W | etcdserver: read-only range request "key:\"/registry/persistentvolumes\" range_end:\"/registry/persistentvolumet\" count_only:true " with result "range_response_count:0 size:7" took too long (287.503725ms) to execute
Nov 11 23:44:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:44:16.229642 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1077" took too long (270.605252ms) to execute
Nov 11 23:45:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:45:26.741795 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (116.280808ms) to execute
Nov 11 23:45:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:45:26.745374 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (116.518234ms) to execute
Nov 11 23:45:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:45:26.992520 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-sx4fq.15d64043eed72b10\" " with result "range_response_count:1 size:561" took too long (175.812531ms) to execute
Nov 11 23:45:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:45:27.016272 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-8xq2c\" " with result "range_response_count:1 size:2738" took too long (131.296761ms) to execute
Nov 11 23:45:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:45:27.016306 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (168.724248ms) to execute
Nov 11 23:45:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:45:27.016496 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (167.789916ms) to execute
Nov 11 23:45:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:45:27.235623 W | etcdserver: request "header:<ID:14919139277667059719 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-n6btj\" mod_revision:37866006 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-n6btj\" value_size:2981 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-n6btj\" > >>" with result "size:20" took too long (142.882564ms) to execute
Nov 11 23:45:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:45:27.236386 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (141.895916ms) to execute
Nov 11 23:45:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:45:27.236569 W | etcdserver: read-only range request "key:\"/registry/masterleases/10.0.0.8\" " with result "range_response_count:1 size:133" took too long (142.739307ms) to execute
Nov 11 23:45:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:45:37.319426 I | mvcc: store.index: compact 37864183
Nov 11 23:45:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:45:37.323645 I | mvcc: finished scheduled compaction at 37864183 (took 3.247092ms)
Nov 11 23:45:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:45:41.955596 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (150.191536ms) to execute
