-- Logs begin at Sun 2019-11-03 14:02:52 UTC, end at Wed 2019-11-06 18:05:59 UTC. --
Nov 06 17:46:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:46:58.451862 N | compactor: Starting auto-compaction at revision 36522974
Nov 06 17:46:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:46:58.452716 N | compactor: Finished auto-compaction at revision 36522974
Nov 06 17:47:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:47:49.685077 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6487" took too long (213.905576ms) to execute
Nov 06 17:48:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:48:07.409963 I | mvcc: store.index: compact 36599839
Nov 06 17:48:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:48:07.417005 I | mvcc: finished scheduled compaction at 36599839 (took 5.420789ms)
Nov 06 17:48:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:48:34.996832 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (124.671588ms) to execute
Nov 06 17:48:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:48:34.996894 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4164" took too long (123.938081ms) to execute
Nov 06 17:48:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:48:34.997165 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (114.691059ms) to execute
Nov 06 17:48:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:48:34.997354 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (125.235124ms) to execute
Nov 06 17:48:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:48:34.997678 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-44gtt\" " with result "range_response_count:1 size:2946" took too long (102.059947ms) to execute
Nov 06 17:48:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:48:39.274681 W | wal: sync duration of 2.391310536s, expected less than 1s
Nov 06 17:48:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 17:48:39.277761 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (1.867795309s) to execute
