-- Logs begin at Sun 2019-12-15 14:07:49 UTC, end at Tue 2019-12-17 07:54:15 UTC. --
Dec 17 07:32:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:32:36.616509 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1077" took too long (203.462ms) to execute
Dec 17 07:32:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:32:44.172311 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (138.883226ms) to execute
Dec 17 07:34:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:34:24.955476 I | mvcc: store.index: compact 44501077
Dec 17 07:34:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:34:24.962352 I | mvcc: finished scheduled compaction at 44501077 (took 5.274997ms)
Dec 17 07:38:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:38:32.434376 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-76rbt\" " with result "range_response_count:1 size:1121" took too long (104.240868ms) to execute
Dec 17 07:38:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:38:32.466231 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (136.049018ms) to execute
Dec 17 07:38:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:38:32.466780 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lskxr\" " with result "range_response_count:1 size:1121" took too long (120.558789ms) to execute
Dec 17 07:38:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:38:32.467036 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hs62t\" " with result "range_response_count:1 size:1118" took too long (129.670909ms) to execute
Dec 17 07:38:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:38:32.467311 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (136.203618ms) to execute
Dec 17 07:38:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:38:32.467583 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (137.4107ms) to execute
Dec 17 07:39:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:39:25.080467 I | mvcc: store.index: compact 44502572
Dec 17 07:39:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:39:25.083489 W | etcdserver: request "header:<ID:14919139277705375280 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:44502572 > " with result "size:7" took too long (101.428721ms) to execute
Dec 17 07:39:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:39:25.104229 I | mvcc: finished scheduled compaction at 44502572 (took 20.11985ms)
Dec 17 07:40:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:40:00.534011 W | etcdserver: request "header:<ID:14919139277705375644 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:44503715 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1831 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (113.043656ms) to execute
Dec 17 07:41:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:41:33.349810 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e11886ec6ec03a\" " with result "range_response_count:1 size:485" took too long (113.24818ms) to execute
Dec 17 07:41:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:41:33.349975 W | etcdserver: request "header:<ID:14919139277705376677 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-qjj4n\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-qjj4n\" value_size:976 >> failure:<>>" with result "size:20" took too long (111.452181ms) to execute
Dec 17 07:41:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:41:33.573492 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (129.285604ms) to execute
Dec 17 07:41:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:41:45.181949 W | etcdserver: request "header:<ID:14919139277705376840 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:44504179 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (124.791885ms) to execute
Dec 17 07:43:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:43:18.911790 W | etcdserver: request "header:<ID:14919139277705377768 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-mpc92.15e118c99d02fb50\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-mpc92.15e118c99d02fb50\" value_size:392 lease:5695767240850601526 >> failure:<>>" with result "size:20" took too long (132.519926ms) to execute
Dec 17 07:43:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:43:18.913152 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mpc92\" " with result "range_response_count:1 size:1121" took too long (140.853071ms) to execute
Dec 17 07:43:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:43:34.148108 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (147.915613ms) to execute
Dec 17 07:43:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:43:34.152354 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (142.537561ms) to execute
Dec 17 07:44:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:44:25.101606 I | mvcc: store.index: compact 44503623
Dec 17 07:44:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:44:25.109009 I | mvcc: finished scheduled compaction at 44503623 (took 6.357048ms)
Dec 17 07:44:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:44:34.311191 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7m5cx\" " with result "range_response_count:1 size:1121" took too long (133.43812ms) to execute
Dec 17 07:44:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:44:34.328601 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kkztt\" " with result "range_response_count:1 size:1121" took too long (130.986939ms) to execute
Dec 17 07:44:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:44:34.328777 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e11886ec6ec03a\" " with result "range_response_count:1 size:485" took too long (148.593585ms) to execute
Dec 17 07:44:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:44:45.695913 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jgfwx\" " with result "range_response_count:1 size:1987" took too long (293.830115ms) to execute
Dec 17 07:48:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:48:49.705775 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (102.313932ms) to execute
Dec 17 07:49:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:49:25.133483 I | mvcc: store.index: compact 44504787
Dec 17 07:49:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:49:25.153015 I | mvcc: finished scheduled compaction at 44504787 (took 17.899253ms)
Dec 17 07:49:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:49:39.957485 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (113.615609ms) to execute
Dec 17 07:51:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:51:22.072294 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.609652062s) to execute
Dec 17 07:51:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:51:22.072548 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.157806086s) to execute
Dec 17 07:51:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:51:22.072568 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authentication.k8s.io\" " with result "range_response_count:1 size:656" took too long (1.518549223s) to execute
Dec 17 07:51:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:51:22.072585 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.batch\" " with result "range_response_count:1 size:622" took too long (1.518626415s) to execute
Dec 17 07:51:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:51:22.072813 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.storage.k8s.io\" " with result "range_response_count:1 size:635" took too long (1.520087349s) to execute
Dec 17 07:51:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:51:22.072890 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.extensions\" " with result "range_response_count:1 size:637" took too long (1.51972379s) to execute
Dec 17 07:51:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-17 07:51:22.073005 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apiextensions.k8s.io\" " with result "range_response_count:1 size:667" took too long (1.520378549s) to execute
