-- Logs begin at Thu 2019-09-26 03:22:32 UTC, end at Fri 2019-09-27 20:41:32 UTC. --
Sep 27 20:21:12 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:21:12.192428 W | etcdserver: request "header:<ID:14919135698845618099 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:30622728 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (112.172121ms) to execute
Sep 27 20:21:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:21:45.364231 I | mvcc: store.index: compact 30620866
Sep 27 20:21:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:21:45.369569 I | mvcc: finished scheduled compaction at 30620866 (took 3.574263ms)
Sep 27 20:22:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:22:03.383587 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (201.810087ms) to execute
Sep 27 20:22:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:22:03.383761 W | etcdserver: request "header:<ID:14919135698845618697 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" mod_revision:30622886 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" value_size:2647 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" > >>" with result "size:20" took too long (151.831468ms) to execute
Sep 27 20:22:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:22:03.399018 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-s5cf8\" " with result "range_response_count:1 size:2738" took too long (187.379879ms) to execute
Sep 27 20:22:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:22:03.399146 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:676" took too long (187.986634ms) to execute
Sep 27 20:22:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:22:03.426132 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:5961" took too long (144.918294ms) to execute
Sep 27 20:22:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:22:03.426304 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (190.288154ms) to execute
Sep 27 20:22:03 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:22:03.602621 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-wd5zd\" " with result "range_response_count:1 size:2738" took too long (100.350227ms) to execute
Sep 27 20:22:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:22:18.368399 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (180.445344ms) to execute
Sep 27 20:22:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:22:18.368467 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:5961" took too long (116.631899ms) to execute
Sep 27 20:22:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:22:18.368601 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (185.872265ms) to execute
Sep 27 20:22:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:22:18.368672 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (186.247153ms) to execute
Sep 27 20:22:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:22:18.368738 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.metrics.k8s.io\" " with result "range_response_count:1 size:1284" took too long (182.006969ms) to execute
Sep 27 20:22:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:22:18.368874 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (113.079427ms) to execute
Sep 27 20:22:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:22:18.369163 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.extensions\" " with result "range_response_count:1 size:637" took too long (157.114761ms) to execute
Sep 27 20:22:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:22:18.369269 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.rbac.istio.io\" " with result "range_response_count:1 size:653" took too long (177.447803ms) to execute
Sep 27 20:22:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:22:18.369370 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha3.networking.istio.io\" " with result "range_response_count:1 size:671" took too long (176.583817ms) to execute
Sep 27 20:22:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:22:18.369455 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.\" " with result "range_response_count:1 size:581" took too long (178.088293ms) to execute
Sep 27 20:22:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:22:18.369573 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (152.675905ms) to execute
Sep 27 20:22:18 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:22:18.369661 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-fhfh4\" " with result "range_response_count:1 size:2738" took too long (170.985001ms) to execute
Sep 27 20:26:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:26:45.379031 I | mvcc: store.index: compact 30622823
Sep 27 20:26:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:26:45.387890 I | mvcc: finished scheduled compaction at 30622823 (took 6.988252ms)
Sep 27 20:26:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:26:47.030790 W | etcdserver: request "header:<ID:14919135698845622067 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:30623700 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5180 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (1.520316538s) to execute
Sep 27 20:26:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:26:47.080445 W | wal: sync duration of 1.570348237s, expected less than 1s
Sep 27 20:26:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:26:47.080683 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (164.977723ms) to execute
Sep 27 20:26:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:26:47.080717 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5252" took too long (1.145124038s) to execute
Sep 27 20:26:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:26:47.080757 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5394" took too long (570.813057ms) to execute
Sep 27 20:26:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:26:47.080794 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (919.632312ms) to execute
Sep 27 20:26:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:26:47.080916 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (601.351964ms) to execute
Sep 27 20:26:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:26:47.080961 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-sr4gx\" " with result "range_response_count:1 size:4141" took too long (809.909438ms) to execute
Sep 27 20:26:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:26:47.081079 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/logentries\" range_end:\"/registry/config.istio.io/logentriet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.417222008s) to execute
Sep 27 20:26:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:26:47.081107 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hrg9t\" " with result "range_response_count:1 size:4363" took too long (1.176239039s) to execute
Sep 27 20:26:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:26:47.081201 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.462987796s) to execute
Sep 27 20:26:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:26:47.081227 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/serviceentries\" range_end:\"/registry/networking.istio.io/serviceentriet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.302200483s) to execute
Sep 27 20:26:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:26:47.256460 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (131.586347ms) to execute
Sep 27 20:29:43 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:29:43.979970 I | etcdserver: start to snapshot (applied: 33824245, lastsnap: 33814244)
Sep 27 20:29:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:29:44.060751 I | etcdserver: saved snapshot at index 33824245
Sep 27 20:29:44 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:29:44.061239 I | etcdserver: compacted raft log at 33819245
Sep 27 20:29:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:29:46.108801 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (127.6718ms) to execute
Sep 27 20:29:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:29:46.109140 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5252" took too long (168.829087ms) to execute
Sep 27 20:29:54 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:29:54.415985 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (120.470421ms) to execute
Sep 27 20:29:54 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:29:54.416264 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (120.779523ms) to execute
Sep 27 20:30:12 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:30:12.538650 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/000000000000000b-0000000002035a9f.snap successfully
Sep 27 20:31:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:31:45.392167 I | mvcc: store.index: compact 30623729
Sep 27 20:31:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:31:45.400334 I | mvcc: finished scheduled compaction at 30623729 (took 6.814417ms)
Sep 27 20:31:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:31:45.763222 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (357.952035ms) to execute
Sep 27 20:34:13 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:34:13.785201 W | etcdserver: request "header:<ID:14919135698845627388 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:30625011 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (106.976064ms) to execute
Sep 27 20:36:15 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:36:15.557740 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (196.184488ms) to execute
Sep 27 20:36:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:36:45.407134 I | mvcc: store.index: compact 30624545
Sep 27 20:36:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:36:45.414211 I | mvcc: finished scheduled compaction at 30624545 (took 5.95432ms)
Sep 27 20:36:45 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:36:45.642715 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (185.093543ms) to execute
Sep 27 20:36:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:36:58.990246 W | wal: sync duration of 1.163992559s, expected less than 1s
Sep 27 20:36:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 20:36:58.990535 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.035218843s) to execute
