-- Logs begin at Sun 2019-12-15 04:02:15 UTC, end at Mon 2019-12-16 21:10:46 UTC. --
Dec 16 20:48:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 20:48:25.589423 W | wal: sync duration of 1.369481892s, expected less than 1s
Dec 16 20:48:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 20:48:25.592134 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (1.316807875s) to execute
Dec 16 20:48:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 20:48:25.629138 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (273.457062ms) to execute
Dec 16 20:48:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 20:48:25.629226 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-npm7t\" " with result "range_response_count:1 size:4174" took too long (1.078902477s) to execute
Dec 16 20:48:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 20:48:25.629355 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/destinationrules\" range_end:\"/registry/networking.istio.io/destinationrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.064401065s) to execute
Dec 16 20:48:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 20:48:25.629532 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (333.208676ms) to execute
Dec 16 20:48:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 20:48:25.629844 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:4 size:16523" took too long (524.401083ms) to execute
Dec 16 20:48:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 20:48:25.629937 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-7tdvk\" " with result "range_response_count:1 size:2314" took too long (295.160022ms) to execute
Dec 16 20:48:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 20:48:25.630147 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kfz4w\" " with result "range_response_count:1 size:4174" took too long (788.452781ms) to execute
Dec 16 20:48:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 20:48:25.630347 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (193.755312ms) to execute
Dec 16 20:48:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 20:48:25.803498 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kfz4w\" " with result "range_response_count:1 size:4150" took too long (112.804892ms) to execute
Dec 16 20:48:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 20:48:46.121318 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (380.73682ms) to execute
Dec 16 20:48:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 20:48:46.124123 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (339.859124ms) to execute
Dec 16 20:49:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 20:49:17.742359 I | mvcc: store.index: compact 44393496
Dec 16 20:49:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 20:49:17.750065 I | mvcc: finished scheduled compaction at 44393496 (took 6.146494ms)
Dec 16 20:49:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 20:49:17.893340 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/rules\" range_end:\"/registry/config.istio.io/rulet\" count_only:true " with result "range_response_count:0 size:9" took too long (122.279603ms) to execute
Dec 16 20:49:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 20:49:23.106791 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-7tdvk\" " with result "range_response_count:1 size:2314" took too long (133.917283ms) to execute
Dec 16 20:49:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 20:49:23.162847 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (170.004517ms) to execute
Dec 16 20:49:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 20:49:26.238723 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (224.402097ms) to execute
