-- Logs begin at Sat 2020-02-01 07:14:07 UTC, end at Sun 2020-02-02 22:31:26 UTC. --
Feb 02 22:08:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:08:44.588933 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-m6hv4.15efb27ce823c26e\" " with result "range_response_count:1 size:569" took too long (103.38153ms) to execute
Feb 02 22:08:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:08:45.166569 W | etcdserver: request "header:<ID:14919139277752601339 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-tdbwc.15efb2ba7c9c913c\" mod_revision:53510151 > success:<request_delete_range:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-tdbwc.15efb2ba7c9c913c\" > > failure:<request_range:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-tdbwc.15efb2ba7c9c913c\" > >>" with result "size:22" took too long (100.804808ms) to execute
Feb 02 22:08:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:08:45.374037 W | etcdserver: request "header:<ID:14919139277752601376 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-vtrm5.15efb2b9b5c637cd\" mod_revision:53510120 > success:<request_delete_range:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-vtrm5.15efb2b9b5c637cd\" > > failure:<request_range:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-vtrm5.15efb2b9b5c637cd\" > >>" with result "size:22" took too long (105.939277ms) to execute
Feb 02 22:08:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:08:48.196017 W | etcdserver: read-only range request "key:\"/registry/services/specs/default/backend\" " with result "range_response_count:0 size:7" took too long (604.47072ms) to execute
Feb 02 22:08:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:08:48.196350 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (603.484401ms) to execute
Feb 02 22:09:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:09:24.730863 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (455.721026ms) to execute
Feb 02 22:09:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:09:24.731293 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (268.087575ms) to execute
Feb 02 22:09:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:09:27.464639 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (181.210898ms) to execute
Feb 02 22:09:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:09:54.126841 I | mvcc: store.index: compact 53515516
Feb 02 22:09:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:09:54.136404 I | mvcc: finished scheduled compaction at 53515516 (took 7.384354ms)
Feb 02 22:10:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:10:31.419141 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authentication.k8s.io\" " with result "range_response_count:1 size:670" took too long (379.036454ms) to execute
