-- Logs begin at Sun 2019-11-03 14:02:52 UTC, end at Wed 2019-11-06 16:52:41 UTC. --
Nov 06 16:31:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:31:40.361941 W | wal: sync duration of 1.582639998s, expected less than 1s
Nov 06 16:31:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:31:40.364313 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (1.168609376s) to execute
Nov 06 16:31:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:31:40.364361 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (761.645502ms) to execute
Nov 06 16:31:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:31:40.364420 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (1.552467219s) to execute
Nov 06 16:31:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:31:40.364605 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (604.302542ms) to execute
Nov 06 16:31:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:31:40.364630 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/apikeys\" range_end:\"/registry/config.istio.io/apikeyt\" count_only:true " with result "range_response_count:0 size:7" took too long (1.456245689s) to execute
Nov 06 16:31:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:31:40.364670 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (1.337760169s) to execute
Nov 06 16:31:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:31:40.364713 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1424" took too long (216.639163ms) to execute
Nov 06 16:31:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:31:40.364758 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (108.998294ms) to execute
Nov 06 16:31:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:31:51.085865 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (134.266707ms) to execute
Nov 06 16:31:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:31:51.086276 W | etcdserver: read-only range request "key:\"/registry/limitranges/istio-system/\" range_end:\"/registry/limitranges/istio-system0\" " with result "range_response_count:0 size:7" took too long (136.50154ms) to execute
Nov 06 16:31:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:31:51.324644 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-qdncg\" " with result "range_response_count:1 size:2738" took too long (171.319079ms) to execute
Nov 06 16:31:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:31:51.324702 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (170.975142ms) to execute
Nov 06 16:31:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:31:51.324983 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (171.381167ms) to execute
Nov 06 16:31:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:31:51.326319 W | etcdserver: request "header:<ID:14919139277661999245 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/horizontalpodautoscalers/istio-system/istio-telemetry\" mod_revision:36589175 > success:<request_put:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-telemetry\" value_size:1571 >> failure:<request_range:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-telemetry\" > >>" with result "size:20" took too long (134.986266ms) to execute
Nov 06 16:32:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:32:51.142538 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (142.38358ms) to execute
Nov 06 16:32:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:32:51.185504 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:836" took too long (170.966137ms) to execute
Nov 06 16:32:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:32:51.185641 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-lgn5b\" " with result "range_response_count:1 size:2738" took too long (155.681661ms) to execute
Nov 06 16:32:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:32:51.369335 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (124.969485ms) to execute
Nov 06 16:32:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 16:32:51.369445 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-6x8cs\" " with result "range_response_count:1 size:2738" took too long (153.668518ms) to execute
