-- Logs begin at Sat 2020-02-01 07:14:07 UTC, end at Sun 2020-02-02 18:48:31 UTC. --
Feb 02 18:25:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:23.857426 N | compactor: Starting auto-compaction at revision 53408299
Feb 02 18:25:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:23.857894 N | compactor: Finished auto-compaction at revision 53408299
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.214989 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (192.302918ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.215038 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4168" took too long (186.829015ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.215071 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (195.555577ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.215250 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-tq4kr\" " with result "range_response_count:1 size:2946" took too long (187.990287ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.215325 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (191.888213ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.215418 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4168" took too long (190.715274ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.215664 W | etcdserver: request "header:<ID:14919139277752453294 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-xrf2q\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-xrf2q\" value_size:2804 >> failure:<>>" with result "size:20" took too long (150.424796ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.215686 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (186.356904ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.234299 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (170.221803ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.234433 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6mzmz\" " with result "range_response_count:1 size:2946" took too long (186.618673ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.234545 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5wv97\" " with result "range_response_count:1 size:2946" took too long (188.611686ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.268432 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (132.657839ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.519214 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (215.931723ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.580846 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (100.839439ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.580916 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (216.056024ms) to execute
