-- Logs begin at Sat 2019-11-02 13:28:51 UTC, end at Wed 2019-11-06 06:08:10 UTC. --
Nov 06 05:46:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:46:06.983372 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitiont\" count_only:true " with result "range_response_count:0 size:9" took too long (274.847761ms) to execute
Nov 06 05:46:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:46:06.983779 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (295.818229ms) to execute
Nov 06 05:46:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:46:15.357183 W | wal: sync duration of 1.247639696s, expected less than 1s
Nov 06 05:46:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:46:15.359420 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (690.168167ms) to execute
Nov 06 05:46:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:46:15.480200 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (454.570766ms) to execute
Nov 06 05:46:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:46:19.297005 N | compactor: Starting auto-compaction at revision 36398420
Nov 06 05:46:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:46:19.297424 N | compactor: Finished auto-compaction at revision 36398420
Nov 06 05:46:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:46:34.661953 W | wal: sync duration of 1.093591442s, expected less than 1s
Nov 06 05:46:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:46:34.666898 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.085230567s) to execute
Nov 06 05:46:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:46:34.683228 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (362.668252ms) to execute
Nov 06 05:46:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:46:34.683580 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (634.472168ms) to execute
Nov 06 05:46:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:46:57.635647 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (267.424149ms) to execute
Nov 06 05:46:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:46:57.635698 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (767.764988ms) to execute
Nov 06 05:46:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:46:57.635767 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (772.117091ms) to execute
Nov 06 05:47:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:47:05.369680 W | wal: sync duration of 1.66151481s, expected less than 1s
Nov 06 05:47:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:47:05.599568 W | etcdserver: read-only range request "key:\"/registry/cronjobs\" range_end:\"/registry/cronjobt\" count_only:true " with result "range_response_count:0 size:7" took too long (1.673530507s) to execute
Nov 06 05:47:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:47:05.599704 W | etcdserver: request "header:<ID:14919139277661574841 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > lease_grant:<ttl:3660-second id:4f0b6e20c79896b8>" with result "size:42" took too long (229.490513ms) to execute
Nov 06 05:47:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:47:05.602164 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (880.599258ms) to execute
Nov 06 05:47:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:47:22.919413 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (447.326224ms) to execute
Nov 06 05:47:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:47:22.919541 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:3 size:4848" took too long (577.951518ms) to execute
Nov 06 05:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 05:47:29.697790 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (119.022355ms) to execute
