-- Logs begin at Wed 2019-11-06 13:57:41 UTC, end at Sat 2019-11-09 10:51:37 UTC. --
Nov 09 10:30:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:30:12.494993 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000539-000000000272fb4c.wal is created
Nov 09 10:30:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:30:15.491425 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000534-0000000002707eb2.wal successfully
Nov 09 10:31:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:31:14.958934 W | etcdserver: request "header:<ID:14919139277664621528 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:37250046 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (104.067318ms) to execute
Nov 09 10:31:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:31:15.005995 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (111.645897ms) to execute
Nov 09 10:31:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:31:15.006306 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4168" took too long (112.18863ms) to execute
Nov 09 10:31:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:31:17.913209 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (505.214529ms) to execute
Nov 09 10:31:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:31:17.921857 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ws8m7\" " with result "range_response_count:1 size:3576" took too long (364.422229ms) to execute
Nov 09 10:31:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:31:17.921961 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (394.598987ms) to execute
Nov 09 10:32:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:32:15.703074 W | etcdserver: request "header:<ID:14919139277664622233 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d577f435b82a12\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d577f435b82a12\" value_size:354 lease:5695767240809846409 >> failure:<>>" with result "size:20" took too long (102.1059ms) to execute
Nov 09 10:33:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:33:16.585324 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (144.495052ms) to execute
Nov 09 10:33:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:33:16.585472 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lb92h\" " with result "range_response_count:1 size:2943" took too long (124.651328ms) to execute
Nov 09 10:33:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:33:16.585718 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (135.929587ms) to execute
Nov 09 10:34:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:34:18.249421 I | mvcc: store.index: compact 37249828
Nov 09 10:34:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:34:18.257150 I | mvcc: finished scheduled compaction at 37249828 (took 5.713496ms)
Nov 09 10:34:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:34:48.253327 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (450.648759ms) to execute
Nov 09 10:34:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:34:48.253405 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (209.922174ms) to execute
Nov 09 10:36:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:36:16.946652 W | etcdserver: request "header:<ID:14919139277664624875 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:37250788 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1831 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (125.083145ms) to execute
Nov 09 10:36:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:36:16.946877 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jhgjl\" " with result "range_response_count:1 size:2946" took too long (124.6645ms) to execute
Nov 09 10:36:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:36:16.947253 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.metrics.k8s.io\" " with result "range_response_count:1 size:1284" took too long (134.353111ms) to execute
Nov 09 10:37:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:37:09.013433 W | etcdserver: request "header:<ID:14919139277664625499 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-wmm96.15d57836ede33118\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-wmm96.15d57836ede33118\" value_size:533 lease:5695767240809849035 >> failure:<>>" with result "size:20" took too long (352.485113ms) to execute
Nov 09 10:37:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:37:09.013624 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (243.94762ms) to execute
Nov 09 10:39:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:39:18.262314 I | mvcc: store.index: compact 37250572
Nov 09 10:39:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:39:18.268579 I | mvcc: finished scheduled compaction at 37250572 (took 4.895106ms)
Nov 09 10:39:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:39:18.524408 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (244.330259ms) to execute
Nov 09 10:40:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:40.444359 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (699.754648ms) to execute
Nov 09 10:40:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:40.444540 W | etcdserver: failed to revoke 4f0b6e20c7c72b56 ("lease not found")
Nov 09 10:40:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:40.453359 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (348.034301ms) to execute
Nov 09 10:40:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:42.466804 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (194.949862ms) to execute
Nov 09 10:40:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:46.136135 W | wal: sync duration of 1.122712912s, expected less than 1s
Nov 09 10:40:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:46.138697 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (638.226731ms) to execute
Nov 09 10:40:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:46.138731 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (514.001298ms) to execute
Nov 09 10:40:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:46.138814 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/fluentds\" range_end:\"/registry/config.istio.io/fluentdt\" count_only:true " with result "range_response_count:0 size:7" took too long (768.307119ms) to execute
Nov 09 10:40:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:46.138993 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-ksp6p\" " with result "range_response_count:1 size:2314" took too long (1.086800371s) to execute
Nov 09 10:40:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:50.950512 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (748.708052ms) to execute
Nov 09 10:40:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:51.449687 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts\" range_end:\"/registry/serviceaccountt\" count_only:true " with result "range_response_count:0 size:9" took too long (471.410946ms) to execute
Nov 09 10:40:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:51.449750 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (789.034807ms) to execute
Nov 09 10:40:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:51.450076 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (508.43349ms) to execute
