-- Logs begin at Thu 2019-09-26 08:24:48 UTC, end at Fri 2019-09-27 23:07:41 UTC. --
Sep 27 22:46:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:46:46.537248 I | mvcc: store.index: compact 30648688
Sep 27 22:46:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:46:46.541825 I | mvcc: finished scheduled compaction at 30648688 (took 3.499021ms)
Sep 27 22:46:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:46:46.702935 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (115.551678ms) to execute
Sep 27 22:48:05 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:48:05.247500 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (136.144165ms) to execute
Sep 27 22:48:05 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:48:05.247864 W | etcdserver: read-only range request "key:\"/registry/limitranges/istio-system/\" range_end:\"/registry/limitranges/istio-system0\" " with result "range_response_count:0 size:7" took too long (135.879214ms) to execute
Sep 27 22:48:05 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:48:05.248504 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:5961" took too long (129.287167ms) to execute
Sep 27 22:48:05 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:48:05.505606 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (188.183758ms) to execute
Sep 27 22:48:05 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:48:05.505657 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (196.637396ms) to execute
Sep 27 22:48:05 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:48:05.505818 W | etcdserver: request "header:<ID:14919135698845721628 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-rmr28.15c86d2737a0446f\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-rmr28.15c86d2737a0446f\" value_size:444 lease:5695763661990945437 >> failure:<>>" with result "size:20" took too long (148.859958ms) to execute
Sep 27 22:48:05 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:48:05.505832 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (184.036498ms) to execute
Sep 27 22:48:05 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:48:05.521000 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-v2rz7\" " with result "range_response_count:1 size:2738" took too long (188.40784ms) to execute
Sep 27 22:48:20 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:48:20.326269 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1153" took too long (155.464664ms) to execute
Sep 27 22:48:20 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:48:20.357957 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-gm94p\" " with result "range_response_count:1 size:2738" took too long (152.568315ms) to execute
Sep 27 22:49:37 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:49:37.069830 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (244.121915ms) to execute
Sep 27 22:50:08 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:50:08.213343 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (351.580111ms) to execute
Sep 27 22:50:38 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:50:38.628786 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (114.154975ms) to execute
Sep 27 22:50:38 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:50:38.628888 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (147.625209ms) to execute
Sep 27 22:50:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:50:57.510163 W | wal: sync duration of 1.033930775s, expected less than 1s
Sep 27 22:50:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:50:57.513342 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/flannel-token-gkg9c\" " with result "range_response_count:1 size:2283" took too long (905.532528ms) to execute
Sep 27 22:50:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:50:57.519632 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (138.188055ms) to execute
Sep 27 22:50:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:50:57.519909 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (182.024634ms) to execute
Sep 27 22:50:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:50:57.520227 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-8pmhf\" " with result "range_response_count:1 size:2440" took too long (482.698329ms) to execute
