-- Logs begin at Tue 2019-10-22 12:00:32 UTC, end at Tue 2019-10-22 13:18:29 UTC. --
Oct 22 12:57:11 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 12:57:11.603552 I | mvcc: store.index: compact 33467970
Oct 22 12:57:11 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 12:57:11.610389 I | mvcc: finished scheduled compaction at 33467970 (took 4.904787ms)
Oct 22 13:00:22 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:00:22.721512 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta2.autoscaling\" " with result "range_response_count:1 size:640" took too long (176.291121ms) to execute
Oct 22 13:00:22 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:00:22.721539 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.coordination.k8s.io\" " with result "range_response_count:1 size:664" took too long (176.953959ms) to execute
Oct 22 13:00:22 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:00:22.721567 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.batch\" " with result "range_response_count:1 size:608" took too long (175.522255ms) to execute
Oct 22 13:00:22 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:00:22.721613 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta2.apps\" " with result "range_response_count:1 size:619" took too long (176.352985ms) to execute
Oct 22 13:00:22 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:00:22.721653 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.monitoring.coreos.com\" " with result "range_response_count:1 size:659" took too long (175.578167ms) to execute
Oct 22 13:02:11 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:02:11.616045 I | mvcc: store.index: compact 33470126
Oct 22 13:02:11 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:02:11.622573 I | mvcc: finished scheduled compaction at 33470126 (took 4.898922ms)
Oct 22 13:02:12 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:02:12.491787 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (592.995375ms) to execute
Oct 22 13:07:11 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:07:11.628911 I | mvcc: store.index: compact 33470774
Oct 22 13:07:11 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:07:11.633080 I | mvcc: finished scheduled compaction at 33470774 (took 2.56669ms)
Oct 22 13:08:08 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:08:08.116486 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (145.869892ms) to execute
Oct 22 13:08:08 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:08:08.116602 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (211.843732ms) to execute
Oct 22 13:08:26 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:08:26.633008 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (173.478203ms) to execute
Oct 22 13:09:02 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-22 13:09:02.771209 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (366.569929ms) to execute
