-- Logs begin at Mon 2019-11-04 06:45:01 UTC, end at Thu 2019-11-07 10:37:54 UTC. --
Nov 07 10:17:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:17:08.593076 W | wal: sync duration of 1.69405743s, expected less than 1s
Nov 07 10:17:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:17:08.598310 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.714169387s) to execute
Nov 07 10:17:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:17:08.598627 W | etcdserver: request "header:<ID:14919139277662697866 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:36764359 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4403 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (1.699378485s) to execute
Nov 07 10:17:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:17:08.599454 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.627960775s) to execute
Nov 07 10:17:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:17:08.602321 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.485883666s) to execute
Nov 07 10:17:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:17:08.602535 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (182.028568ms) to execute
Nov 07 10:17:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:17:08.602718 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (1.381243616s) to execute
Nov 07 10:17:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:17:56.570787 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (137.636722ms) to execute
Nov 07 10:17:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:17:56.570920 W | etcdserver: request "header:<ID:14919139277662698262 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-28tgq\" mod_revision:36764470 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-28tgq\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-28tgq\" > >>" with result "size:20" took too long (119.086917ms) to execute
Nov 07 10:17:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:17:56.571148 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-b4h68\" " with result "range_response_count:1 size:1118" took too long (131.730433ms) to execute
Nov 07 10:18:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 10:18:32.411310 I | mvcc: store.index: compact 36763866
