-- Logs begin at Fri 2020-01-31 20:55:11 UTC, end at Sun 2020-02-02 10:33:55 UTC. --
Feb 02 10:11:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:11:00.460051 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-vvnkk.15ef8b558cf3d738\" " with result "range_response_count:1 size:577" took too long (105.454012ms) to execute
Feb 02 10:11:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:11:59.053425 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (150.419016ms) to execute
Feb 02 10:12:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:12:27.258719 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (222.439073ms) to execute
Feb 02 10:12:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:12:47.134876 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (144.426138ms) to execute
Feb 02 10:12:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:12:47.134991 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (327.635094ms) to execute
Feb 02 10:12:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:12:47.136404 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (325.364637ms) to execute
Feb 02 10:12:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:12:57.792023 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (306.089735ms) to execute
Feb 02 10:12:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:12:57.792203 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (250.60192ms) to execute
Feb 02 10:14:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:14:08.868202 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (407.638412ms) to execute
Feb 02 10:14:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:14:08.868266 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:28480" took too long (584.346282ms) to execute
Feb 02 10:14:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:14:08.868408 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (110.608301ms) to execute
