-- Logs begin at Sat 2019-11-09 08:24:11 UTC, end at Mon 2019-11-11 13:02:42 UTC. --
Nov 11 12:40:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 12:40:44.001378 W | wal: sync duration of 1.156518894s, expected less than 1s
Nov 11 12:40:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 12:40:44.004164 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (955.138789ms) to execute
Nov 11 12:40:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 12:40:45.318967 W | wal: sync duration of 1.317384585s, expected less than 1s
Nov 11 12:40:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 12:40:45.321655 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.357661201s) to execute
Nov 11 12:40:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 12:40:45.321854 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.727225011s) to execute
Nov 11 12:40:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 12:40:45.322135 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (1.046503931s) to execute
Nov 11 12:40:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 12:40:45.322318 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (412.215966ms) to execute
Nov 11 12:40:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 12:40:45.322453 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (479.105709ms) to execute
Nov 11 12:40:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 12:40:48.167798 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (488.714147ms) to execute
Nov 11 12:40:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 12:40:48.906073 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (455.126379ms) to execute
Nov 11 12:40:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 12:40:49.970978 W | wal: sync duration of 1.068369331s, expected less than 1s
Nov 11 12:40:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 12:40:49.973441 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (375.845983ms) to execute
Nov 11 12:40:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 12:40:49.973774 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (630.388148ms) to execute
Nov 11 12:40:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 12:40:49.973839 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (1.164275793s) to execute
Nov 11 12:40:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 12:40:49.973990 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (380.054338ms) to execute
Nov 11 12:40:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 12:40:49.974268 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (1.123356875s) to execute
Nov 11 12:40:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 12:40:49.974495 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1120" took too long (774.942235ms) to execute
