-- Logs begin at Wed 2019-12-18 10:00:07 UTC, end at Thu 2019-12-19 19:15:50 UTC. --
Dec 19 18:54:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:54:05.992315 W | wal: sync duration of 1.05303781s, expected less than 1s
Dec 19 18:54:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:54:05.997113 W | etcdserver: request "header:<ID:14919139277707748288 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:45102159 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4164 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (1.057664876s) to execute
Dec 19 18:54:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:54:05.997552 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (948.191426ms) to execute
Dec 19 18:54:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:54:06.004574 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (347.330458ms) to execute
Dec 19 18:54:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:54:06.004662 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (711.102746ms) to execute
Dec 19 18:55:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:55:57.021660 I | mvcc: store.index: compact 45101147
Dec 19 18:55:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:55:57.027173 I | mvcc: finished scheduled compaction at 45101147 (took 3.78095ms)
Dec 19 18:59:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:59:19.805367 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1479" took too long (185.681463ms) to execute
Dec 19 18:59:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 18:59:19.805628 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (182.469845ms) to execute
Dec 19 19:00:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 19:00:57.035450 I | mvcc: store.index: compact 45102428
Dec 19 19:00:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 19:00:57.047719 I | mvcc: finished scheduled compaction at 45102428 (took 7.724767ms)
Dec 19 19:00:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 19:00:57.364705 W | etcdserver: request "header:<ID:14919139277707751812 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:45103100 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4221 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (137.98884ms) to execute
Dec 19 19:02:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 19:02:06.835325 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (131.446122ms) to execute
Dec 19 19:02:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 19:02:16.851041 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (109.204327ms) to execute
Dec 19 19:02:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 19:02:18.373406 W | etcdserver: request "header:<ID:14919139277707752445 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:45103273 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (329.787681ms) to execute
Dec 19 19:02:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 19:02:18.373766 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (226.378639ms) to execute
Dec 19 19:02:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 19:02:20.506956 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (279.625488ms) to execute
Dec 19 19:02:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 19:02:25.466557 W | etcdserver: request "header:<ID:14919139277707752513 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:45103284 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4355 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (682.630872ms) to execute
Dec 19 19:02:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 19:02:25.466716 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (438.07029ms) to execute
