-- Logs begin at Sat 2020-02-01 07:14:07 UTC, end at Sun 2020-02-02 21:42:23 UTC. --
Feb 02 21:19:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:19:53.886445 I | mvcc: store.index: compact 53507681
Feb 02 21:19:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:19:53.894920 I | mvcc: finished scheduled compaction at 53507681 (took 4.684858ms)
Feb 02 21:22:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:22:10.449474 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wfv5s\" " with result "range_response_count:1 size:2946" took too long (107.754235ms) to execute
Feb 02 21:22:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:22:13.198307 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-v4cfw\" " with result "range_response_count:1 size:2738" took too long (208.760399ms) to execute
Feb 02 21:22:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:22:13.213481 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (193.918649ms) to execute
Feb 02 21:22:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:22:13.213813 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (208.254514ms) to execute
Feb 02 21:22:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:22:13.214034 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (208.878979ms) to execute
Feb 02 21:22:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:22:13.214212 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (210.041292ms) to execute
Feb 02 21:22:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:22:13.413919 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (115.900405ms) to execute
Feb 02 21:22:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:22:13.414081 W | etcdserver: request "header:<ID:14919139277752569234 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" mod_revision:53509921 > success:<request_put:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" value_size:1553 >> failure:<request_range:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" > >>" with result "size:20" took too long (111.734411ms) to execute
Feb 02 21:22:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:22:13.414202 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (120.664686ms) to execute
Feb 02 21:22:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:22:13.428340 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-vtrm5\" " with result "range_response_count:1 size:2738" took too long (121.482655ms) to execute
Feb 02 21:22:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:22:28.270621 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (162.261757ms) to execute
Feb 02 21:22:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:22:28.271305 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (153.675577ms) to execute
Feb 02 21:24:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:24:53.901579 I | mvcc: store.index: compact 53509758
Feb 02 21:24:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:24:53.913805 I | mvcc: finished scheduled compaction at 53509758 (took 10.508144ms)
Feb 02 21:24:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:24:55.516509 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (1.24216981s) to execute
Feb 02 21:24:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:24:55.516653 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (747.952185ms) to execute
Feb 02 21:24:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:24:55.516695 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (813.50576ms) to execute
Feb 02 21:24:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:24:55.517269 W | etcdserver: request "header:<ID:14919139277752570966 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:53510438 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4164 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (675.822906ms) to execute
Feb 02 21:24:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:24:55.517577 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (871.367119ms) to execute
Feb 02 21:24:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:24:55.544272 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (216.205109ms) to execute
Feb 02 21:25:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:25:23.876626 N | compactor: Starting auto-compaction at revision 53438773
Feb 02 21:25:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:25:23.877000 N | compactor: Finished auto-compaction at revision 53438773
Feb 02 21:29:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:29:53.915411 I | mvcc: store.index: compact 53510454
Feb 02 21:29:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:29:53.930022 I | mvcc: finished scheduled compaction at 53510454 (took 12.963992ms)
Feb 02 21:29:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:29:54.256032 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts\" range_end:\"/registry/serviceaccountt\" count_only:true " with result "range_response_count:0 size:9" took too long (269.481624ms) to execute
Feb 02 21:29:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:29:54.256280 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/checknothings\" range_end:\"/registry/config.istio.io/checknothingt\" count_only:true " with result "range_response_count:0 size:7" took too long (296.19264ms) to execute
Feb 02 21:31:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:31:05.817910 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (369.142149ms) to execute
Feb 02 21:31:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:31:05.818079 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (164.771302ms) to execute
Feb 02 21:31:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:31:21.494862 W | etcdserver: request "header:<ID:14919139277752574867 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:53511146 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:374 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:20" took too long (108.229223ms) to execute
Feb 02 21:31:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:31:56.323834 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (159.545428ms) to execute
Feb 02 21:31:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:31:56.324022 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (264.947252ms) to execute
Feb 02 21:32:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:32:04.293022 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (202.237191ms) to execute
Feb 02 21:32:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:32:04.293145 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4240" took too long (220.150322ms) to execute
Feb 02 21:32:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:32:04.450484 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (152.923937ms) to execute
Feb 02 21:32:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:32:06.525209 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (185.880229ms) to execute
Feb 02 21:32:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:32:06.525258 W | etcdserver: request "header:<ID:14919139277752575319 > lease_revoke:<id:4f0b6e20cd0524ae>" with result "size:29" took too long (178.591252ms) to execute
Feb 02 21:32:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:32:13.085907 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pc6xv\" " with result "range_response_count:1 size:2946" took too long (136.645479ms) to execute
Feb 02 21:32:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:32:13.088434 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vmf5k\" " with result "range_response_count:1 size:2946" took too long (102.76388ms) to execute
Feb 02 21:32:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:32:17.260428 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pc6xv\" " with result "range_response_count:1 size:3784" took too long (195.726354ms) to execute
Feb 02 21:33:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:33:07.635892 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/fluentds\" range_end:\"/registry/config.istio.io/fluentdt\" count_only:true " with result "range_response_count:0 size:7" took too long (153.008279ms) to execute
Feb 02 21:33:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:33:08.149945 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (112.012344ms) to execute
Feb 02 21:33:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:33:08.150199 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6260" took too long (107.309834ms) to execute
Feb 02 21:33:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:33:36.692916 W | etcdserver: request "header:<ID:14919139277752576347 > lease_revoke:<id:4f0b6e20cd0528ae>" with result "size:29" took too long (293.255921ms) to execute
Feb 02 21:34:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:34:53.929002 I | mvcc: store.index: compact 53510990
Feb 02 21:34:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:34:53.938150 I | mvcc: finished scheduled compaction at 53510990 (took 6.281212ms)
Feb 02 21:35:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:35:21.467650 W | etcdserver: read-only range request "key:\"/registry/masterleases/10.0.0.8\" " with result "range_response_count:1 size:133" took too long (145.765628ms) to execute
Feb 02 21:36:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:36:07.249835 W | etcdserver: request "header:<ID:14919139277752577874 > lease_revoke:<id:4f0b6e20cd052ea9>" with result "size:29" took too long (259.050581ms) to execute
Feb 02 21:36:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 21:36:07.715969 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (293.692466ms) to execute
