-- Logs begin at Sun 2019-11-03 23:04:18 UTC, end at Thu 2019-11-07 06:06:22 UTC. --
Nov 07 05:46:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:46:59.921188 N | compactor: Starting auto-compaction at revision 36638966
Nov 07 05:46:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:46:59.922042 N | compactor: Finished auto-compaction at revision 36638966
Nov 07 05:48:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:48:13.611211 I | mvcc: store.index: compact 36721558
Nov 07 05:48:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:48:13.620648 I | mvcc: finished scheduled compaction at 36721558 (took 8.211706ms)
Nov 07 05:48:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:48:48.259078 W | etcdserver: request "header:<ID:14919139277662525229 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-mg9md\" mod_revision:36722425 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-mg9md\" value_size:1425 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-mg9md\" > >>" with result "size:20" took too long (125.545422ms) to execute
Nov 07 05:48:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:48:48.274115 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (114.987668ms) to execute
Nov 07 05:53:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:53:13.710047 I | mvcc: store.index: compact 36722331
Nov 07 05:53:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:53:13.716288 I | mvcc: finished scheduled compaction at 36722331 (took 4.130823ms)
Nov 07 05:54:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:54:03.648148 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wlvp9\" " with result "range_response_count:1 size:1121" took too long (125.943075ms) to execute
Nov 07 05:54:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:54:03.874300 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (160.779037ms) to execute
Nov 07 05:54:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:54:03.878754 W | etcdserver: request "header:<ID:14919139277662528278 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-rqvf4\" mod_revision:36723373 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-rqvf4\" value_size:1425 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-rqvf4\" > >>" with result "size:20" took too long (125.961931ms) to execute
Nov 07 05:56:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:56:03.809017 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pxlbp\" " with result "range_response_count:1 size:1121" took too long (144.257709ms) to execute
Nov 07 05:56:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:56:03.839273 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d4cb9cb0186b0a\" " with result "range_response_count:1 size:485" took too long (173.698202ms) to execute
Nov 07 05:56:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:56:04.057451 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d4cb9cb0186b0a\" " with result "range_response_count:1 size:485" took too long (170.104948ms) to execute
Nov 07 05:56:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:56:04.092775 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (177.340446ms) to execute
Nov 07 05:56:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:56:04.092819 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-fcn2p\" " with result "range_response_count:1 size:1121" took too long (179.106215ms) to execute
Nov 07 05:56:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 05:56:04.093079 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-72lb5\" " with result "range_response_count:1 size:1121" took too long (179.474306ms) to execute
