-- Logs begin at Sun 2019-09-29 12:25:33 UTC, end at Tue 2019-10-01 08:28:33 UTC. --
Oct 01 08:08:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 08:08:07.811103 I | mvcc: store.index: compact 31176331
Oct 01 08:08:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 08:08:07.816969 I | mvcc: finished scheduled compaction at 31176331 (took 4.140906ms)
Oct 01 08:08:51 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 08:08:51.010155 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (517.030004ms) to execute
Oct 01 08:08:51 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 08:08:51.015418 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1480" took too long (320.129399ms) to execute
Oct 01 08:11:00 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 08:11:00.963529 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kp7cx\" " with result "range_response_count:1 size:1744" took too long (105.802864ms) to execute
Oct 01 08:11:00 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 08:11:00.963834 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (218.931621ms) to execute
Oct 01 08:11:42 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 08:11:42.204672 W | etcdserver: request "header:<ID:14919135698848631108 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:31178002 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:7976 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (134.258443ms) to execute
Oct 01 08:11:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 08:11:47.248874 N | compactor: Starting auto-compaction at revision 31122300
Oct 01 08:11:47 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 08:11:47.249534 N | compactor: Finished auto-compaction at revision 31122300
Oct 01 08:12:15 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 08:12:15.913887 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-kube-state-metrics\" " with result "range_response_count:1 size:498" took too long (124.1811ms) to execute
Oct 01 08:12:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 08:12:24.078215 W | etcdserver: request "header:<ID:14919135698848631551 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:31178132 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5319 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (221.110256ms) to execute
Oct 01 08:13:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 08:13:07.825019 I | mvcc: store.index: compact 31177341
Oct 01 08:13:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 08:13:07.831877 I | mvcc: finished scheduled compaction at 31177341 (took 5.412736ms)
