-- Logs begin at Wed 2020-01-29 20:49:21 UTC, end at Fri 2020-01-31 19:57:49 UTC. --
Jan 31 19:35:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:35:00.485811 W | etcdserver: request "header:<ID:14919139277750616561 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:53020035 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4105 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (115.513669ms) to execute
Jan 31 19:35:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:35:00.500803 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (128.702299ms) to execute
Jan 31 19:35:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:35:00.501136 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4168" took too long (129.342897ms) to execute
Jan 31 19:35:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:35:00.501625 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (128.101415ms) to execute
Jan 31 19:35:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:35:14.469037 W | etcdserver: read-only range request "key:\"/registry/authentication.istio.io/policies\" range_end:\"/registry/authentication.istio.io/policiet\" count_only:true " with result "range_response_count:0 size:9" took too long (295.899753ms) to execute
Jan 31 19:35:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:35:14.500515 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (225.951241ms) to execute
Jan 31 19:35:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:35:14.500921 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts\" range_end:\"/registry/serviceaccountt\" count_only:true " with result "range_response_count:0 size:9" took too long (130.63003ms) to execute
Jan 31 19:35:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:35:15.745487 W | etcdserver: request "header:<ID:14919139277750616752 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-ndkk6\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-ndkk6\" value_size:2804 >> failure:<>>" with result "size:20" took too long (111.660496ms) to execute
Jan 31 19:35:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:35:15.746299 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (108.218449ms) to execute
Jan 31 19:35:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:35:15.751482 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (113.343457ms) to execute
Jan 31 19:35:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:35:15.752306 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4168" took too long (113.278029ms) to execute
Jan 31 19:35:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:35:16.003780 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (154.8874ms) to execute
Jan 31 19:35:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:35:16.034859 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (184.818102ms) to execute
Jan 31 19:36:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:36:30.621460 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (123.229375ms) to execute
Jan 31 19:38:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:38:05.606000 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4181" took too long (128.851955ms) to execute
Jan 31 19:38:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 19:38:12.240216 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-7g8lb\" " with result "range_response_count:1 size:2314" took too long (227.00201ms) to execute
