-- Logs begin at Thu 2020-01-30 21:39:54 UTC, end at Sat 2020-02-01 16:44:59 UTC. --
Feb 01 16:21:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:21:58.542865 I | etcdserver: start to snapshot (applied: 58657385, lastsnap: 58647384)
Feb 01 16:21:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:21:58.701077 I | etcdserver: saved snapshot at index 58657385
Feb 01 16:21:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:21:58.701678 I | etcdserver: compacted raft log at 58652385
Feb 01 16:22:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:03.409638 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:20 size:82239" took too long (177.05693ms) to execute
Feb 01 16:22:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:05.377023 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (237.36778ms) to execute
Feb 01 16:22:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:05.503507 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (186.337165ms) to execute
Feb 01 16:22:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:05.503616 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (252.072791ms) to execute
Feb 01 16:22:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:05.531328 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/cronjob-controller\" " with result "range_response_count:1 size:253" took too long (148.963215ms) to execute
Feb 01 16:22:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:05.531600 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6260" took too long (152.941729ms) to execute
Feb 01 16:22:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:06.398231 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/istio-system/\" range_end:\"/registry/resourcequotas/istio-system0\" " with result "range_response_count:0 size:7" took too long (113.362101ms) to execute
Feb 01 16:22:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:06.917681 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (495.161787ms) to execute
Feb 01 16:22:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:06.918203 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-pilot\" " with result "range_response_count:1 size:535" took too long (495.648675ms) to execute
Feb 01 16:22:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:06.918841 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-bsb96\" " with result "range_response_count:1 size:2634" took too long (439.607487ms) to execute
Feb 01 16:22:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:06.919915 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (347.375471ms) to execute
Feb 01 16:22:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:06.920010 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-gqp6h\" " with result "range_response_count:1 size:2314" took too long (427.437362ms) to execute
Feb 01 16:22:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:06.920229 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (355.504671ms) to execute
Feb 01 16:22:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:07.200375 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4240" took too long (116.350026ms) to execute
Feb 01 16:22:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:07.961487 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (155.424172ms) to execute
Feb 01 16:22:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:09.022635 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:20 size:82563" took too long (137.36588ms) to execute
Feb 01 16:22:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:21.362457 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-ingressgateway.15ef53bd1b0004ad\" " with result "range_response_count:1 size:553" took too long (385.423699ms) to execute
Feb 01 16:22:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:21.362520 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/dogstatsds\" range_end:\"/registry/config.istio.io/dogstatsdt\" count_only:true " with result "range_response_count:0 size:7" took too long (346.470487ms) to execute
