-- Logs begin at Tue 2019-10-29 21:05:01 UTC, end at Sat 2019-11-02 03:06:06 UTC. --
Nov 02 02:43:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:43:59.948870 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/authorizations\" range_end:\"/registry/config.istio.io/authorizationt\" count_only:true " with result "range_response_count:0 size:7" took too long (385.166946ms) to execute
Nov 02 02:44:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:09.817795 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (105.556526ms) to execute
Nov 02 02:44:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:09.818018 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (273.197551ms) to execute
Nov 02 02:44:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:22.645596 W | wal: sync duration of 2.49862787s, expected less than 1s
Nov 02 02:44:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:22.649258 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (2.364666172s) to execute
Nov 02 02:44:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:22.652908 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (2.336257629s) to execute
Nov 02 02:44:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:22.653242 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/noops\" range_end:\"/registry/config.istio.io/noopt\" count_only:true " with result "range_response_count:0 size:7" took too long (115.598677ms) to execute
Nov 02 02:44:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:22.653603 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (621.221267ms) to execute
Nov 02 02:44:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:22.653883 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.007016839s) to execute
Nov 02 02:44:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:22.654163 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/logentries\" range_end:\"/registry/config.istio.io/logentriet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.284840458s) to execute
Nov 02 02:44:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:22.654511 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.525939798s) to execute
Nov 02 02:44:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:22.654775 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.753812573s) to execute
Nov 02 02:44:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:22.655040 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (1.943962263s) to execute
Nov 02 02:44:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:22.655458 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (2.048080094s) to execute
Nov 02 02:44:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:22.655830 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (2.332033006s) to execute
Nov 02 02:44:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:23.543240 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (164.122338ms) to execute
Nov 02 02:44:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:23.543527 W | etcdserver: read-only range request "key:\"/registry/events/default/backend.15d33851a37b6f1e\" " with result "range_response_count:1 size:498" took too long (336.400023ms) to execute
Nov 02 02:44:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:23.544358 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (170.220074ms) to execute
Nov 02 02:44:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:42.974877 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (205.613828ms) to execute
Nov 02 02:44:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:42.975359 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (209.376726ms) to execute
Nov 02 02:44:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:53.310259 W | etcdserver: request "header:<ID:14919139277657873298 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:35558395 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (227.521449ms) to execute
Nov 02 02:44:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:53.311317 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (595.408091ms) to execute
Nov 02 02:44:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:53.311366 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (190.210239ms) to execute
