-- Logs begin at Sun 2019-12-15 04:02:15 UTC, end at Mon 2019-12-16 16:13:29 UTC. --
Dec 16 15:51:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:51:09.465473 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/attributemanifests\" range_end:\"/registry/config.istio.io/attributemanifestt\" count_only:true " with result "range_response_count:0 size:9" took too long (180.668393ms) to execute
Dec 16 15:51:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:51:09.465907 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (288.759017ms) to execute
Dec 16 15:51:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:51:29.748538 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/apikeys\" range_end:\"/registry/config.istio.io/apikeyt\" count_only:true " with result "range_response_count:0 size:7" took too long (474.32273ms) to execute
Dec 16 15:51:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:51:29.748679 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (188.971235ms) to execute
Dec 16 15:52:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:52:19.841483 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.extensions\" " with result "range_response_count:1 size:637" took too long (302.684412ms) to execute
Dec 16 15:52:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:52:19.841592 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apiextensions.k8s.io\" " with result "range_response_count:1 size:667" took too long (304.384421ms) to execute
Dec 16 15:52:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:52:19.841651 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.storage.k8s.io\" " with result "range_response_count:1 size:635" took too long (305.028547ms) to execute
Dec 16 15:52:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:52:19.841730 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (384.545484ms) to execute
Dec 16 15:52:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:52:19.841772 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.batch\" " with result "range_response_count:1 size:622" took too long (303.312863ms) to execute
Dec 16 15:52:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:52:19.842213 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.rbac.istio.io\" " with result "range_response_count:1 size:653" took too long (303.118309ms) to execute
Dec 16 15:52:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:52:39.151376 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (150.472385ms) to execute
Dec 16 15:52:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:52:39.151525 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (140.427924ms) to execute
Dec 16 15:52:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:52:39.389611 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (149.243325ms) to execute
Dec 16 15:52:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:52:39.389831 W | etcdserver: request "header:<ID:14919139277704741514 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" mod_revision:44345957 > success:<request_put:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" value_size:1553 >> failure:<request_range:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" > >>" with result "size:20" took too long (137.642728ms) to execute
Dec 16 15:52:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:52:39.404795 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (160.859358ms) to execute
