-- Logs begin at Wed 2019-12-18 15:20:13 UTC, end at Fri 2019-12-20 02:21:07 UTC. --
Dec 20 01:59:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:59:21.750348 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/authorizations\" range_end:\"/registry/config.istio.io/authorizationt\" count_only:true " with result "range_response_count:0 size:7" took too long (687.416007ms) to execute
Dec 20 01:59:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:59:42.250944 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:4620" took too long (258.168704ms) to execute
Dec 20 01:59:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:59:42.251000 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (215.963953ms) to execute
Dec 20 01:59:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:59:42.251221 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (202.295555ms) to execute
Dec 20 02:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:00:44.649392 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (122.090419ms) to execute
Dec 20 02:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:00:44.664031 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (136.715868ms) to execute
Dec 20 02:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:00:44.902365 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (189.603093ms) to execute
Dec 20 02:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:00:44.902452 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kubernetesenvs\" range_end:\"/registry/config.istio.io/kubernetesenvt\" count_only:true " with result "range_response_count:0 size:7" took too long (197.989076ms) to execute
Dec 20 02:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:00:44.929344 W | etcdserver: request "header:<ID:14919139277708021043 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-6z7df.15e1f1d5b1a21f85\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-6z7df.15e1f1d5b1a21f85\" value_size:444 lease:5695767240853244713 >> failure:<>>" with result "size:20" took too long (154.566726ms) to execute
Dec 20 02:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:00:44.930156 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (191.403411ms) to execute
Dec 20 02:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:00:44.930365 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (189.348131ms) to execute
Dec 20 02:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:00:44.930707 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-prometheus\" " with result "range_response_count:1 size:422" took too long (190.353262ms) to execute
Dec 20 02:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:00:44.932108 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-6z7df\" " with result "range_response_count:1 size:2738" took too long (155.137173ms) to execute
Dec 20 02:00:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:00:59.645768 W | etcdserver: request "header:<ID:14919139277708021294 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-ingressgateway\" mod_revision:45173244 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" value_size:6101 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (102.773919ms) to execute
Dec 20 02:00:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:00:59.663926 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (121.303598ms) to execute
Dec 20 02:00:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:00:59.692217 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (148.859606ms) to execute
Dec 20 02:00:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:00:59.901884 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (152.149007ms) to execute
Dec 20 02:00:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:00:59.901916 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1154" took too long (173.11673ms) to execute
Dec 20 02:00:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:00:59.902120 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (154.879532ms) to execute
Dec 20 02:01:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:01:04.880657 I | mvcc: store.index: compact 45171470
Dec 20 02:01:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:01:04.974272 I | mvcc: finished scheduled compaction at 45171470 (took 92.177921ms)
Dec 20 02:03:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:03:32.526725 W | etcdserver: request "header:<ID:14919139277708023008 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:45173609 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (121.502563ms) to execute
Dec 20 02:04:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:04:32.746832 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1064" took too long (146.18295ms) to execute
Dec 20 02:04:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:04:32.747004 W | etcdserver: request "header:<ID:14919139277708023752 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-9p8fb\" mod_revision:45173799 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-9p8fb\" value_size:3504 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-9p8fb\" > >>" with result "size:20" took too long (133.643935ms) to execute
Dec 20 02:04:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:04:32.761956 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-shf6q\" " with result "range_response_count:1 size:2946" took too long (150.565745ms) to execute
Dec 20 02:04:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:04:32.762289 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vs2wh\" " with result "range_response_count:1 size:2946" took too long (157.213092ms) to execute
Dec 20 02:05:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:05:32.826900 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vp475\" " with result "range_response_count:1 size:2946" took too long (164.742297ms) to execute
Dec 20 02:05:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:05:32.827235 W | etcdserver: request "header:<ID:14919139277708024492 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15e1f218b61de47f\" mod_revision:45173994 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15e1f218b61de47f\" value_size:386 lease:5695767240853248652 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15e1f218b61de47f\" > >>" with result "size:20" took too long (130.020469ms) to execute
Dec 20 02:05:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:05:32.842206 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (160.744843ms) to execute
