-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Thu 2019-10-10 07:38:14 UTC. --
Oct 10 07:17:07 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:17:07.076214 I | mvcc: store.index: compact 32054468
Oct 10 07:17:07 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:17:07.087745 I | mvcc: finished scheduled compaction at 32054468 (took 10.665925ms)
Oct 10 07:17:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:17:44.224997 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6063" took too long (422.485398ms) to execute
Oct 10 07:17:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:17:44.261351 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (130.330624ms) to execute
Oct 10 07:17:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:17:44.261446 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (279.561578ms) to execute
Oct 10 07:17:44 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:17:44.261624 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (132.807258ms) to execute
Oct 10 07:18:07 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:18:07.514889 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-kkxtr.15cc37d480f52bf8\" " with result "range_response_count:1 size:547" took too long (409.514359ms) to execute
Oct 10 07:18:07 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:18:07.533385 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (423.908549ms) to execute
Oct 10 07:18:07 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:18:07.533665 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts\" range_end:\"/registry/serviceaccountt\" count_only:true " with result "range_response_count:0 size:9" took too long (151.857799ms) to execute
Oct 10 07:18:07 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:18:07.533916 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (424.395706ms) to execute
Oct 10 07:18:49 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:18:49.411499 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (203.068996ms) to execute
