-- Logs begin at Sun 2019-11-03 14:02:52 UTC, end at Wed 2019-11-06 15:38:14 UTC. --
Nov 06 15:17:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 15:17:08.110026 W | wal: sync duration of 1.89228552s, expected less than 1s
Nov 06 15:17:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 15:17:08.112837 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (1.243564689s) to execute
Nov 06 15:17:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 15:17:08.194783 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (115.751644ms) to execute
Nov 06 15:17:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 15:17:32.521342 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (102.278179ms) to execute
Nov 06 15:17:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 15:17:32.521601 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (124.674039ms) to execute
Nov 06 15:17:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 15:17:38.481486 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (147.715137ms) to execute
Nov 06 15:17:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 15:17:40.091490 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (201.269422ms) to execute
Nov 06 15:17:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 15:17:40.091668 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (201.928012ms) to execute
Nov 06 15:18:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 15:18:06.349599 I | mvcc: store.index: compact 36576241
Nov 06 15:18:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 15:18:06.354594 I | mvcc: finished scheduled compaction at 36576241 (took 4.10861ms)
Nov 06 15:18:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 15:18:54.161483 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (109.275967ms) to execute
Nov 06 15:21:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 15:21:59.977613 W | etcdserver: read-only range request "key:\"/registry/limitranges/default/\" range_end:\"/registry/limitranges/default0\" " with result "range_response_count:0 size:7" took too long (109.207318ms) to execute
Nov 06 15:22:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 15:22:52.182475 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (240.013396ms) to execute
Nov 06 15:23:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-06 15:23:06.455132 I | mvcc: store.index: compact 36577017
