-- Logs begin at Tue 2019-12-17 13:42:37 UTC, end at Thu 2019-12-19 02:49:45 UTC. --
Dec 19 02:26:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:26:58.619682 I | etcdserver: start to snapshot (applied: 49536091, lastsnap: 49526090)
Dec 19 02:26:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:26:58.719054 I | etcdserver: saved snapshot at index 49536091
Dec 19 02:26:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:26:58.722199 I | etcdserver: compacted raft log at 49531091
Dec 19 02:27:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:27:14.124091 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002f31906.snap successfully
Dec 19 02:28:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:28:37.870518 W | etcdserver: request "header:<ID:14919139277707095171 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:44937053 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (125.008967ms) to execute
Dec 19 02:28:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:28:37.870697 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (155.661867ms) to execute
Dec 19 02:28:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:28:37.870765 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-glzvg\" " with result "range_response_count:1 size:1121" took too long (149.229692ms) to execute
Dec 19 02:28:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:28:37.871150 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5sr62\" " with result "range_response_count:1 size:1121" took too long (134.783225ms) to execute
Dec 19 02:30:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:30:43.411635 I | mvcc: store.index: compact 44936656
Dec 19 02:30:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:30:43.417415 I | mvcc: finished scheduled compaction at 44936656 (took 4.770525ms)
Dec 19 02:30:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:30:43.657096 W | etcdserver: request "header:<ID:14919139277707096471 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:44937473 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:4548 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (130.751629ms) to execute
Dec 19 02:30:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:30:43.672252 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (128.587208ms) to execute
Dec 19 02:30:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:30:43.672323 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-lfps2.15e1a4a6c8c22a8f\" " with result "range_response_count:1 size:561" took too long (122.412155ms) to execute
Dec 19 02:31:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:31:27.278653 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (160.147376ms) to execute
Dec 19 02:31:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:31:32.509786 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (549.087445ms) to execute
Dec 19 02:31:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:31:32.514111 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (170.514217ms) to execute
Dec 19 02:31:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:31:32.514410 W | etcdserver: read-only range request "key:\"/registry/persistentvolumes\" range_end:\"/registry/persistentvolumet\" count_only:true " with result "range_response_count:0 size:7" took too long (340.477566ms) to execute
Dec 19 02:31:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:31:32.519643 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (507.375126ms) to execute
Dec 19 02:31:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:31:38.037341 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5rl5m\" " with result "range_response_count:1 size:1118" took too long (112.292718ms) to execute
Dec 19 02:31:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:31:38.040591 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (110.938032ms) to execute
Dec 19 02:31:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:31:38.040850 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4f6pm\" " with result "range_response_count:1 size:1121" took too long (103.289734ms) to execute
Dec 19 02:31:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:31:38.044294 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (113.848399ms) to execute
Dec 19 02:31:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:31:42.749368 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (193.436025ms) to execute
Dec 19 02:31:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:31:42.755404 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (147.943216ms) to execute
Dec 19 02:31:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:31:44.696195 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (291.632392ms) to execute
Dec 19 02:31:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:31:44.696427 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-zhp2p\" " with result "range_response_count:1 size:1854" took too long (169.973162ms) to execute
Dec 19 02:32:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:08.945818 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-p6t7h\" " with result "range_response_count:1 size:1851" took too long (286.06196ms) to execute
Dec 19 02:32:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:20.716160 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-5sr62.15e1a4cec1819627\" " with result "range_response_count:1 size:590" took too long (293.638799ms) to execute
Dec 19 02:32:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:20.716296 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (171.243083ms) to execute
Dec 19 02:32:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:23.726861 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.coordination.k8s.io\" " with result "range_response_count:1 size:664" took too long (841.728899ms) to execute
